canonical_item_code	standard_item_name	standard_sku_name	minimal_required_specs	standard_uom	source_uoms	unit_resolution	brand	aliases	removed_default_fields	default_fill_basis	merged_from_item_codes	merged_count	merge_reasons	governance_reasons	target
PIPE-000187	气源分配器	气源分配器 6路	材质：不锈钢；路数：6路	个	个	来源单位一致		定做6路不锈钢气源分配器；气源分配器	定制：是	仅保留已知规格（材质、路数），接口尺寸缺失未补全	PIPE-000187	1		根据原路数6路，生成标准名称，缺失接口尺寸，作为初始库。	定制加工件/定制管路件/气源分配器
PIPE-000126	管加工件	管加工件 325*12*12m	材质：无缝管；规格/口径：325；壁厚：12；长度：12m	根	根	来源单位一致		加工325*12无缝管加工12米；无缝管加工件	加工：是		PIPE-000126	1		保留口径325、壁厚12、长度12m、材质无缝管，删除默认字段'加工：是'，单位保留根	定制加工件/定制管路件/管加工件
PIPE-000469	管加工件	管加工件 4分 镀锌 外丝 3m	材质：镀锌；规格/口径：4分；接口：外丝；长度：3m；用途：水管	根	根	来源单位一致		加工4分镀锌两端丝水管3米；镀锌水管加工件	加工：是		PIPE-000469	1		保留材质镀锌、规格4分、接口外丝、长度3m、用途水管，删除默认字段'加工：是'，单位保留根	定制加工件/定制管路件/管加工件
PIPE-000266	管加工件	管加工件 6分 水管	材质：镀锌；规格/口径：6分；用途：水管	根	根	来源单位一致		加工6分水管；水管加工件	定制：是	缺失材质，按常用水管材质镀锌推断	PIPE-000266	1		保留规格6分、用途水管，推断材质镀锌，删除默认字段'定制：是'，单位保留根，长度缺失未补全	定制加工件/定制管路件/管加工件
PIPE-000106	管加工件	管加工件 80 外丝	材质：钢管；规格/口径：80；接口：外丝	根	根	来源单位一致		加工80钢管带牙；带牙钢管加工件	加工：是		PIPE-000106	1		保留口径80、材质钢管、接口外丝，删除默认字段'加工：是'，单位由个统一为根，长度缺失未补全	定制加工件/定制管路件/管加工件
PIPE-000122	管加工件	管加工件 80*150 外丝	材质：铁管；规格/口径：80；长度：150；接口：外丝	根	根	来源单位一致		加工80*150铁管带牙；带牙铁管加工件	加工：是		PIPE-000122	1		保留口径80、长度150、材质铁管、接口外丝，删除默认字段'加工：是'，单位保留根	定制加工件/定制管路件/管加工件
PIPE-000104	管加工件	管加工件 89 外丝	材质：钢管；规格/口径：89；接口：外丝	根	根	来源单位一致		加工89钢管带牙；带牙钢管加工件	加工：是		PIPE-000104	1		保留口径89、材质钢管、接口外丝，删除默认字段'加工：是'，单位由个统一为根，长度缺失未补全	定制加工件/定制管路件/管加工件
PIPE-000210	管加工件	管加工件 DN25 单头外丝	材质：无缝管；规格/口径：DN25；接口：单头外丝	根	根	来源单位一致		加工单头外丝无缝管；单头外丝无缝管加工件	加工：是	缺失口径和长度，按常见管路接头口径DN25推断	PIPE-000210	1		保留材质无缝管、接口单头外丝，推断口径DN25，删除默认字段'加工：是'，单位由个统一为根	定制加工件/定制管路件/管加工件
PIPE-000191	管加工件	管加工件 DN25 双头外丝	材质：无缝管；规格/口径：DN25；接口：双头外丝	根	根	来源单位一致		加工两头外丝无缝管；双外丝无缝管加工件	加工：是	缺失口径和长度，按常见管路接头口径DN25推断	PIPE-000191	1		保留材质无缝管、接口双头外丝，推断口径DN25，删除默认字段'加工：是'，单位由个统一为根	定制加工件/定制管路件/管加工件
PIPE-000457	管加工件	管加工件 PVC Φ200*1.5m	材质：PVC；规格/口径：Φ200；长度：1.5m	根	根	来源单位一致		加工PVC管Φ200*1.5m；PVC管加工件	定制：是		PIPE-000457	1		保留材质PVC、口径Φ200、长度1.5m，删除默认字段'定制：是'，单位保留根	定制加工件/定制管路件/管加工件
PIPE-000452	管接头加工件	管接头加工件 Φ168	管径：Φ168；用途：泥浆管；连接：焊接	个	个	来源单位一致		加工焊接泥浆管接头Φ168；泥浆管接头加工件	定制：是（定制件默认）		PIPE-000452	1		删除默认定制字段，保留管径、用途与连接方式	定制加工件/定制管路件/管接头加工件
PIPE-000339	管接头加工件	管接头加工件 Φ219	管径：Φ219；用途：泥浆管	个	个	来源单位一致		加工泥浆管接头Φ219；泥浆管接头	加工：是（定制件默认）	原始单位件，统一为个	PIPE-000339	1		删除默认加工字段，保留管径与用途	定制加工件/定制管路件/管接头加工件
SPARE-000128	方柱	方柱 70mm*70mm*0.3m	截面：70mm*70mm；长度：0.3m；材质：钢	根	根	来源单位一致		加工方柱70mm*70mm*0.3m；方柱加工件	定制：是；加工：是	材质缺失，按常见定制方柱填充为钢	SPARE-000128	1		保留截面和长度规格，删除定值和加工属性；补充材质为常用钢	定制加工件/定制结构件/方柱
SPARE-000127	方柱	方柱 70mm*70mm*1m	截面：70mm*70mm；长度：1m；材质：钢	根	根	来源单位一致		加工方柱70mm*70mm*1m；方柱加工件	定制：是；加工：是	材质缺失，按常见定制方柱填充为钢	SPARE-000127	1		保留截面和长度规格，删除定值和加工属性；补充材质为常用钢	定制加工件/定制结构件/方柱
SPARE-000036	夹板	夹板 94*33*3mm	尺寸：94*33*3mm；材质：金属	块	块	来源单位一致		加工94*33*3夹板；夹板加工件	加工：是（定制加工件默认属性）	材质缺失，按常见金属夹板推断为金属	SPARE-000036	1		保留尺寸字段，删除默认加工标记，推断材质为金属以形成唯一SKU	定制加工件/定制结构件/夹板
SPARE-000084	垫木	垫木 100*100	规格/截面：100*100mm；材质：木方	米	米	来源单位一致		加工100*100木方垫；木方垫	加工：是	长度未提供，暂以截面规格作为SKU区分	SPARE-000084	1		保留截面和材质，删除加工字段；长度缺失未补全，需后续确认	定制加工件/定制结构件/垫木
SPARE-000083	垫木	垫木 200*200*1500	尺寸（长宽高）：200*200*1500mm；材质：木方	根	根	来源单位一致		加工200*200*1500木方垫板；木方垫板	加工：是；用途：垫板		SPARE-000083	1		保留尺寸和材质，删除加工和用途等非关键字段	定制加工件/定制结构件/垫木
METAL-000162	排烟罩	排烟罩 500*600 不锈钢	定制：是；材质：不锈钢；尺寸：500*600	个	个	来源单位一致		订做不锈钢排烟罩500*600；排烟罩			METAL-000162	1		保留材质和尺寸作为关键规格，定制属性保留；无字段被删除。	定制加工件/定制结构件/排烟罩
PIPE-000102	抱箍	抱箍 159	规格：159；适用：钢管；加工：是	个	个	来源单位一致		159加工钢管抱箍；钢管抱箍	类型：抱箍	缺失材质、厚度，未补齐，作为定制加工件处理	PIPE-000102	1		原规格159，适用钢管，保留加工属性	定制加工件/定制结构件/抱箍
PIPE-000290	抱箍	抱箍 2寸	规格：2寸；加工：是	个	个	来源单位一致		2寸抱箍加工；抱箍加工件	类型：抱箍	缺失材质、表面处理，未补齐，作为定制加工件处理	PIPE-000290	1		原规格2寸，无适用对象，保留加工属性	定制加工件/定制结构件/抱箍
PIPE-000289	抱箍	抱箍 3寸	规格：3寸；加工：是	个	个	来源单位一致		3寸抱箍加工；抱箍加工件	类型：抱箍	缺失材质、表面处理，未补齐，作为定制加工件处理	PIPE-000289	1		原规格3寸，无适用对象，保留加工属性	定制加工件/定制结构件/抱箍
PIPE-000103	抱箍	抱箍 89	规格：89；适用：钢管；加工：是	个	个	来源单位一致		加工89钢管抱箍；钢管抱箍	类型：抱箍	缺失材质、厚度，未补齐，作为定制加工件处理	PIPE-000103	1		原规格89，适用钢管，保留加工属性	定制加工件/定制结构件/抱箍
MAT-000148	风筒	风筒 600*10米 加厚	直径：600；长度：10米；特征：加厚	条	条	来源单位一致		加工加厚风筒600*10米；加厚风筒	加工：是		MAT-000148	1		定制风筒，直径600，长度10米，加厚特征，缺失材质和连接方式，按现有规格区分SKU。	定制加工件/定制管路件/风筒
MAT-000147	风筒	风筒 600*20米 加厚	直径：600；长度：20米；特征：加厚	条	条	来源单位一致		加工加厚风筒600*20米；加厚风筒	加工：是		MAT-000147	1		定制风筒，直径600，长度20米，加厚特征，缺失材质和连接方式，按现有规格区分SKU。	定制加工件/定制管路件/风筒
METAL-000065	控制箱	控制箱 不锈钢	材质：不锈钢	套	套	来源单位一致		定做不锈钢控制箱；不锈钢控制箱	定制：是	原始规格缺失尺寸、厚度、IP等级等关键参数，仅保留材质作为最小规格，建议人工补充尺寸。	METAL-000065	1		移除默认属性'定制：是'，保留材质作为关键规格；尺寸缺失需人工补充。	定制加工件/定制结构件/控制箱
SPARE-000088	焊接件	焊接件 80*200	尺寸：80*200；材质：钢	个	个	来源单位一致		定做80*200钢焊接；钢焊接件	工艺：焊接；定制：是		SPARE-000088	1		保留尺寸和材质作为关键规格，删除默认工艺和定制标记。	定制加工件/定制结构件/焊接件
METAL-000046	窗	铝合金窗	材质：铝合金；定制：是	套	套	来源单位一致		定做铝合金窗；铝合金窗		原始规格缺失尺寸、开启方式等，生成通用铝合金窗SKU作为初始库。	METAL-000046	1		仅保留已知材质和定制属性，其余规格缺失，作为通用SKU。	定制加工件/定制结构件/窗
METAL-000047	窗护栏	窗护栏 不锈钢	材质：不锈钢；定制尺寸：需双方确认	套	套	来源单位一致		不锈钢窗护栏	定制：是；用途：窗护栏	原始未提供尺寸，作为定制件需后续补充尺寸或图纸	METAL-000047	1		材质确定，尺寸缺失，保留材质为关键规格，尺寸标注待确认	定制加工件/定制结构件/窗护栏
PIPE-000359	管夹	管夹 60	类型：重型；规格/口径：60；联数：1联；加工：是	个	个	来源单位一致		加工重型管夹60;重型管夹加工件		联数根据类型'重型'推断为单联	PIPE-000359	1		保留规格、联数、类型和加工属性，统一单位为个	定制加工件/定制结构件/管夹
PIPE-000366	管夹	管夹 六联 35	规格/口径：35；联数：6联；加工：是	个	个	来源单位一致		加工六联管夹35;六联管夹加工件		材质缺失，未补齐；联数已知	PIPE-000366	1		保留规格、联数和加工属性，统一单位为个	定制加工件/定制结构件/管夹
SPARE-000009	钢圈	钢圈 外径108×内径100×高度5	材质：钢；规格/尺寸：外径108mm×内径100mm×高度5mm	个	个	来源单位一致		加工100*108*5钢圈；钢圈	加工：是（定制加工件默认需要加工）		SPARE-000009	1		原始规格顺序可能为内径*外径*高度，规范为外径*内径*高度以便识别；删除加工字段（默认定制加工件需加工）。	定制加工件/定制结构件/钢圈
SPARE-000010	钢圈	钢圈 外径110×内径100×高度10	材质：钢；规格/尺寸：外径110mm×内径100mm×高度10mm	个	个	来源单位一致		加工100*110*10钢圈；钢圈	加工：是（定制加工件默认需要加工）		SPARE-000010	1		原始规格顺序可能为内径*外径*高度，规范为外径*内径*高度以便识别；删除加工字段（默认定制加工件需加工）。	定制加工件/定制结构件/钢圈
ELEC-000125	电箱罩	电箱罩 1.8*1.6*0.6	尺寸：1.8*1.6*0.6；特征：加厚	套	套	来源单位一致		1.8*1.6*0.6定做加厚电箱罩；电箱罩	定制：是		ELEC-000125	1		尺寸为关键差异特征，保留；特征“加厚”保留；删除默认字段“定制：是”。	定制加工件/定制结构件/电箱罩
ELEC-000124	电箱罩	电箱罩 2.3*1.3*0.7	尺寸：2.3*1.3*0.7；特征：加厚	套	套	来源单位一致		2.3*1.3*0.7定做加厚电箱罩；电箱罩	定制：是		ELEC-000124	1		尺寸为关键差异特征，保留；特征“加厚”保留；删除默认字段“定制：是”。	定制加工件/定制结构件/电箱罩
SPARE-000051	箱体	箱体 4立方 钢	容量：4立方；材质：钢	个	个	来源单位一致		加工定做4立方钢箱；钢箱	加工定做：是		SPARE-000051	1		缺失尺寸和图纸，但容量和材质已可区分，作为初始库SKU。加工定做为默认定制属性，已删除。	定制加工件/定制结构件/箱体
SPARE-000133	角钢	角钢 40	规格：40角铁；长度：1.5米	根	根	来源单位一致		加工40角铁1.5米长；角钢加工件	定制：是；加工：是	材质未提供，按常见采购习惯默认Q235	SPARE-000133	1		原始规格仅含边宽40和长度1.5米，缺失边厚和材质；定制/加工属性已删除；边厚未推断以避免编造，材质按常用填充。	定制加工件/定制结构件/角钢
METAL-000038	钢筋加工件	钢筋加工件 Φ12*1.60m	钢筋规格：Φ12；长度：1.60m	根	根	来源单位一致		加工12钢筋1.6米；钢筋加工件	加工：是		METAL-000038	1		保留钢筋规格和长度；删除冗余'加工：是'；原单位'个'统一为'根'。	定制加工件/定制结构件/钢筋加工件
METAL-000039	钢筋加工件	钢筋加工件 Φ12*11.93m	钢筋规格：Φ12；长度：11.93m	根	根	来源单位一致		加工12钢筋11.93米；钢筋加工件	加工：是		METAL-000039	1		保留钢筋规格和长度；删除冗余'加工：是'；原单位'个'统一为'根'。	定制加工件/定制结构件/钢筋加工件
METAL-000040	钢筋加工件	钢筋加工件 Φ12*12.94m	钢筋规格：Φ12；长度：12.94m	根	根	来源单位一致		加工12钢筋12.94米；钢筋加工件	加工：是		METAL-000040	1		保留钢筋规格和长度；删除冗余'加工：是'；原单位'个'统一为'根'。	定制加工件/定制结构件/钢筋加工件
METAL-000133	钢筋加工件	钢筋加工件 螺纹Φ20*0.40m	钢筋规格：Φ20；长度：0.40m；钢筋类型：螺纹	根	根	来源单位一致		加工螺纹钢筋Φ20*40cm；螺纹钢筋加工件	加工：是		METAL-000133	1		保留钢筋规格、长度、钢筋类型；删除冗余'加工：是'；单位统一为'根'。	定制加工件/定制结构件/钢筋加工件
METAL-000137	钢筋加工件	钢筋加工件 螺纹Φ20*0.60m	钢筋规格：Φ20；长度：0.60m；钢筋类型：螺纹	根	根	来源单位一致		加工螺纹钢筋Φ20*60cm；螺纹钢筋加工件	加工：是		METAL-000137	1		保留钢筋规格、长度、钢筋类型；删除冗余'加工：是'；单位统一为'根'。	定制加工件/定制结构件/钢筋加工件
SPARE-000033	刮泥板	刮泥板	规格：通用	块	块	来源单位一致		定做刮泥板;刮泥板		原始缺失材质、尺寸、适用设备等关键规格，无法推断唯一参数，按常见非标件治理，需补充图纸或详细技术参数。；后处理补齐：原输出最小规格为空，按初始物料清单口径设为规格：通用	SPARE-000033	1		物料名称明确但规格缺失，作为初始库保留通用SKU，待后续补充图号、材质、尺寸等最小规格。；后处理补齐：原输出最小规格为空，按初始物料清单口径设为规格：通用	定制加工件/设备定制配件/刮泥板
SPARE-000074	推进泵吸轮	推进泵吸轮	适用设备：推进泵；材质：不锈钢	套	套	来源单位一致		定做推进泵吸轮；推进泵吸轮	定制：是；类型：吸轮	常见推进泵吸轮材质为不锈钢，初始库存按不锈钢创建；适用设备为已知字段。	SPARE-000074	1		保留已知适用设备；推断材质为不锈钢（常见）；删除定制和类型字段，因名称已体现。	定制加工件/设备定制配件/推进泵吸轮
SPARE-000072	钢格板	钢格板 1.3-1.5米	尺寸：1.3-1.5米；材质：碳钢	块	块	来源单位一致		定做1.3-1.5米钢格板；钢格板	定制：是	材质未提供，按常见碳钢钢格板处理；尺寸为范围值，未区分长宽	SPARE-000072	1		原始规格只包含定制标识和尺寸范围，缺失材质和承载等级，按最小必要保留尺寸，默认材质为碳钢	定制加工件/定制结构件/钢格板
SAFE-000119	防护罩	防护罩 1.2m*2.7m*0.8m 碳钢	尺寸：1.2m*2.7m*0.8m；材质：碳钢（默认）	件	件	来源单位一致		加工防护罩1.2米*2.7米*0.8米；防护罩加工件	定制：是	材质缺失，按常见加工防护罩默认碳钢	SAFE-000119	1		缺失材质，按常见默认碳钢补齐；尺寸为唯一规格保留；定制属性为默认删除。	定制加工件/定制结构件/防护罩
SPARE-000109	后备套夹子	后备套夹子 非标定制	规格：通用	个	个	来源单位一致		加工后备套夹子	定制：是；部件：后备套夹子	原始无规格，非标定制件，按最常见加工件处理；后处理补齐：原输出最小规格为空，按初始物料清单口径设为规格：通用	SPARE-000109	1		删除默认描述字段，保留最小规格，因无可用规格留空；后处理补齐：原输出最小规格为空，按初始物料清单口径设为规格：通用	定制加工件/设备定制配件/后备套夹子
SPARE-000097	拉杆销子	拉杆销子	材质：待定；尺寸：待定	套	套	来源单位一致		定做拉杆销子；拉杆销子		原始规格缺失，无法推断具体材质和尺寸，作为定制件初始占位SKU	SPARE-000097	1		定制件，无具体规格，保留为初始库占位SKU，后续需补充图纸及材质尺寸	定制加工件/设备定制配件/拉杆销子
METAL-000041	钢筋箍	钢筋方形箍 12	钢筋规格：12；形状：方形箍	个	个	来源单位一致		加工12钢筋方形箍；钢筋方形箍	加工：是	钢筋规格和形状已知，尺寸（边长/内径）缺失，未补充	METAL-000041	1		删除默认字段'加工：是'；保留钢筋规格和形状作为关键规格；将形状并入standard_sku_name以增强可读性；尺寸缺失未编造	定制加工件/定制结构件/钢筋箍
MAT-000145	离心机滤网	离心机滤网 1.4米*0.31米*0.72米	尺寸：1.4米*0.31米*0.72米	个	个	来源单位一致		订做离心机滤网1.4米*0.31米*0.72米；定做离心机滤网1.4米*0.31米*0.72米；离心机滤网	定制：是		MAT-000145	1		保留尺寸作为关键规格，删除默认定制属性；材质缺失但按定制件处理，不预设。	定制加工件/设备定制配件/离心机滤网
SPARE-000103	轴套	轴套 加工件	规格：通用	个	个	来源单位一致		加工轴套；轴套	加工：是（加工件默认属性）；部件：轴套（与名称重复）	无充分依据，作为通用加工轴套初始SKU；后处理补齐：原输出最小规格为空，按初始物料清单口径设为规格：通用	SPARE-000103	1		缺失材质和尺寸规格，保留加工类型作为唯一关键属性，其余默认删除；后处理补齐：原输出最小规格为空，按初始物料清单口径设为规格：通用	定制加工件/设备定制配件/轴套
SPARE-000046	注浆机活塞	注浆机活塞	适用设备：注浆机	套	套	来源单位一致		定做注浆机活塞；注浆机活塞		原始规格缺失仅保留已知的适用设备；定制件需按图纸采购，未补全材质、尺寸等参数。	SPARE-000046	1		定制件，无通用规格，仅保留适用设备字段作为最小必填规格。	定制加工件/设备定制配件/注浆机活塞
SPARE-000089	水泵防护罩	不锈钢水泵防护罩 60*90	材质：不锈钢；尺寸：60*90	个	个	来源单位一致		定做不锈钢水泵防护罩60*90；水泵防护罩	定制：是	尺寸单位默认为mm	SPARE-000089	1		保留规格：材质、尺寸；删除默认字段：定制；尺寸单位默认mm；缺失厚度等非关键信息未补全。	定制加工件/设备定制配件/水泵防护罩
METAL-000086	离心机钢板	离心机钢板	加工：是；适用设备：离心机；材质：钢板	个	个	来源单位一致		加工离心机钢板；离心机钢板		原始数据缺失尺寸和图纸号，保留适用设备作为关键规格，尺寸需采购员确认	METAL-000086	1		定制件无具体尺寸，无法建立唯一SKU；初始库保留基本信息，采购时需补充尺寸	定制加工件/设备定制配件/离心机钢板
SPARE-000030	钢套	钢套 轴承钢 加厚	材质：轴承钢；特征：加厚	套	套	来源单位一致		定做加厚轴承钢钢套；轴承钢钢套		尺寸缺失，作为初始库暂以材质和特征区分，实际采购需补充内外径、长度等尺寸	SPARE-000030	1		保留材质和特征作为关键区分，删除‘定制’默认字段，尺寸需后续补充	定制加工件/设备定制配件/钢套
SPARE-000118	隔环	隔环 2350	规格/型号：2350	个	个	来源单位一致		加工隔环2350; 隔环加工件	加工：是 (定制件默认加工)；部件：隔环 (已在物料名称中体现)		SPARE-000118	1		仅保留已有规格/型号作为最小关键规格，删除重复和默认字段。	定制加工件/设备定制配件/隔环
SPARE-000093	长销	长销 20*340	材质：碳钢；规格/口径：20mm；长度：340mm	件	件	来源单位一致		加工长销20*340；长销加工件	加工：是	规格20*340推断为直径20mm、长度340mm；材质按常见定制长销默认碳钢	SPARE-000093	1		根据老清单规格20*340和产品名长销，生成标准SKU；删除默认加工字段，补充材质为碳钢	定制加工件/设备定制配件/长销
TOOL-000231	冲孔冲头	冲孔冲头 Φ14×150	直径：Φ14；长度：150mm	支	支	来源单位一致		冲孔冲Φ14*150；冲孔冲头			TOOL-000231	1		保留直径和长度规格，材质待后续补充	工具耗材/刀具耗材（候选新增）/冲孔冲头
TOOL-000232	冲孔冲头	冲孔冲头 Φ16×150	直径：Φ16；长度：150mm	支	支	来源单位一致		冲孔冲Φ16*150；冲孔冲头			TOOL-000232	1		保留直径和长度规格，材质待后续补充	工具耗材/刀具耗材（候选新增）/冲孔冲头
METAL-000107	钢丝轮	钢丝轮 100*16	外径：100mm；孔径：16mm	只	只	来源单位一致		打磨钢丝轮；钢丝轮	用途：打磨；类型：钢丝轮	外径和孔径是钢丝轮核心采购规格，原始缺失，按常见规格100mm外径和16mm孔径填补	METAL-000107	1		原始规格中只有用途和类型，缺失关键尺寸规格，按常见通用规格填补外径和孔径，删除冗余描述字段	工具耗材/切磨耗材/钢丝轮
TOOL-000033	磨光片	磨光片 100mm	直径：100mm；厚度：6mm；孔径：16mm；材质：树脂；粒度：80#	块	块	来源单位一致		100磨光片；磨光片		原始规格仅提供直径100，厚度、孔径、材质、粒度按常见角磨机磨光片默认：厚度6mm，孔径16mm，材质树脂，粒度80#	TOOL-000033	1		单一SKU，按直径100mm生成基础SKU，补充常见参数	工具耗材/切磨耗材/磨光片
TOOL-000032	切割片	切割片 100mm	直径：100mm；厚度：1mm；孔径：16mm；材质：树脂	片	片	来源单位一致	金立克	100切割片;切割片；金立克切割片;切割片		直径由'规格：100'推断为100mm；厚度、孔径、材质为常见树脂切割片默认值；规格缺失，推断为常用直径100mm	TOOL-000032；TOOL-000045	2	相同直径、厚度、孔径、材质，仅品牌不同	规格100推断为直径100mm，补全默认厚度、孔径、材质；仅有品牌，推断规格为常用100mm切割片	工具耗材/切磨耗材/切割片
WELD-000050	切割片	切割片 355mm	直径：355mm；厚度：3mm；孔径：25mm；材质：树脂	片	片	来源单位一致		切割片Φ355;切割片		规格Φ355推断直径355mm，厚度、孔径、材质为常见树脂切割片标准	WELD-000050	1		直径Φ355推断为355mm，补全默认厚度、孔径、材质	工具耗材/切磨耗材/切割片
TOOL-000083	切割片	切割片 400mm	直径：400mm；厚度：5mm；孔径：25mm；材质：金刚石	片	片	来源单位一致		400马路切片;马路切割片		用途'马路切割'推断材质为金刚石；厚度、孔径为常见马路切割片标准	TOOL-000083	1		规格400推断直径400mm，材质金刚石，厚度孔径默认	工具耗材/切磨耗材/切割片
MAT-000171	百叶轮	百叶轮 4寸	外径：4寸；孔径：16mm；粒度：80目	片	片	来源单位一致		4寸百叶砂轮片；百叶砂轮片	类型：百叶轮；规格按字段维护	百叶轮通常采购4寸（100mm）、孔径16mm、粒度80目，因此以此作为初始SKU。；原始仅提供外径4寸，缺失孔径和粒度，依据常见百叶轮标准品补全孔径16mm、粒度80目。	MAT-000171；TOOL-000037	2	标准SKU名和最小必填规格相同，单位冲突（片 vs 块），建议统一为片。；标准SKU名和最小必填规格相同，单位冲突（块 vs 片），建议统一为片。	原始缺失规格，推断为常用4寸百叶轮；单位由片统一不变；与TOOL-000037疑似同一物料。；原始有规格4寸，但缺失粒度和孔径，已合理补齐；单位由块改为片。	工具耗材/切磨耗材/百叶轮
TOOL-000069	丝锥	丝锥 M20	螺纹规格：M20；材质：高速钢	支	支	来源单位一致		M20丝锥；丝锥		原始缺失材质，按常见采购推断为高速钢	TOOL-000069	1		保留螺纹规格M20，补充默认材质高速钢，删除不必要的描述。	工具耗材/刀具耗材（候选新增）/丝锥
TOOL-000061	金刚磨片	金刚磨片 100mm #100	外径：100mm；孔径：16mm；粒度：#100	个	个	来源单位一致			材质：金刚石（行业默认）	原始缺失外径、孔径、粒度，按常用规格补充：外径100mm、孔径16mm、粒度#100	TOOL-000061	1		原始规格缺失，按常见规格生成初始SKU	工具耗材/切磨耗材/金刚磨片
TOOL-000207	尖凿	尖凿 五坑 大	接口：五坑；规格：大	支	支	来源单位一致		大五坑尖凿；五坑尖凿；尖凿	类型：尖凿（已体现在名称中）		TOOL-000207	1		保留接口和规格字段，删除冗余的类型字段，因接口和规格是采购关键识别信息。	工具耗材/刀具耗材（候选新增）/尖凿
TOOL-000024	钢丝刷	刀型钢丝刷 250mm	规格/口径：250mm；形状：刀型	把	把	来源单位一致		刀型钢丝刷；钢丝刷	材质：钢丝；类型：钢丝刷	常见采购口径，总长250mm	TOOL-000024	1		刀型为关键形状差异，保留；默认材质和类型删除；补齐规格口径	工具耗材/刷涂耗材/钢丝刷
TOOL-000092	钢丝刷	钢丝刷 250mm	规格/口径：250mm	把	把	来源单位一致		钢丝刷；钢刷	材质：钢丝；类型：钢丝刷；类型：钢刷	常见采购口径，总长250mm	TOOL-000092；TOOL-000185；TOOL-000245；TOOL-000251	4	关键规格一致，标准SKU名称和最小必需规格相同；单位冲突需统一	无差异规格，默认删除；补齐规格口径；单位从支改为把；单位从个改为把；类型钢刷统一为钢丝刷；默认材质删除；单位从只改为把；单位从把保留（未改）	工具耗材/刷涂耗材/钢丝刷
TOOL-000286	钢丝刷	铁柄钢丝刷 250mm	规格/口径：250mm；柄材质：铁柄	把	把	来源单位一致		铁柄钢丝刷；钢丝刷	材质：钢丝；类型：钢丝刷	常见采购口径，总长250mm	TOOL-000286	1		铁柄为关键差异，保留；默认材质和类型删除；补齐规格口径；单位从个改为把	工具耗材/刷涂耗材/钢丝刷
MAT-000194	砂纸	砂纸 240#	粒度：240#	张	张	来源单位一致		240#砂纸；砂纸		尺寸：230×280mm（常见规格）；背基材质：纸基（砂纸默认）	MAT-000194	1		仅提供粒度240#，尺寸和背基材质缺失，按常见规格补齐。	工具耗材/砂纸/磨料/砂纸
TOOL-000041	砂纸	砂纸 600#	粒度：600#	张	张	来源单位一致		600砂纸；砂纸；细砂纸		尺寸：230×280mm（常见规格）；背基材质：纸基（砂纸默认）；原始粒度为“细”，推断为600#（常见细粒度）	TOOL-000041；TOOL-000139	2	与TOOL-000139推断粒度均为600#，尺寸均缺失，可合并。；与TOOL-000041推断粒度均为600#，尺寸均缺失，可合并。	粒度600，尺寸和背基材质缺失，按常见规格补齐。；原始粒度模糊，推断为600#，尺寸和背基材质缺失。	工具耗材/砂纸/磨料/砂纸
MAT-000195	砂纸	砂纸 80#	粒度：80#	张	张	来源单位一致		80#砂纸；砂纸；80砂纸		尺寸：230×280mm（常见规格）；背基材质：纸基（砂纸默认）	MAT-000195；TOOL-000042	2	与TOOL-000042同为80#砂纸，尺寸均缺失，可合并。；与MAT-000195同为80#砂纸，尺寸均缺失，可合并。	粒度80#，尺寸和背基材质缺失，按常见规格补齐。；粒度80，尺寸和背基材质缺失，按常见规格补齐。	工具耗材/砂纸/磨料/砂纸
TOOL-000058	滚筒刷	滚筒刷 150	规格：150	只	只	来源单位一致		150滚筒；滚筒刷		原始规格150含义未明确（可能长度或毛长），按原始数值保留	TOOL-000058	1		保留规格150，单位从支统一为只	工具耗材/刷涂耗材/滚筒刷
TOOL-000059	滚筒刷	滚筒刷 250	规格：250	只	只	来源单位一致		250滚筒；滚筒刷		原始规格250含义未明确（可能长度或毛长），按原始数值保留	TOOL-000059	1		保留规格250，单位从支统一为只	工具耗材/刷涂耗材/滚筒刷
TOOL-000004	滚筒刷	滚筒刷 4寸	规格：4寸	只	只	来源单位一致		4寸滚筒；滚筒刷			TOOL-000004；TOOL-000101	2	相同规格4寸，单位不同需统一	保留4寸规格，单位从个统一为只；保留4寸规格，单位从支统一为只	工具耗材/刷涂耗材/滚筒刷
TOOL-000102	滚筒刷	滚筒刷 4寸	规格：4寸；类型：小滚筒	只	只	来源单位一致		4寸小滚筒；小滚筒刷			TOOL-000102	1	相同规格4寸，类型小滚筒为附加描述，可视为同一SKU	保留4寸规格和小滚筒类型，单位从支统一为只	工具耗材/刷涂耗材/滚筒刷
TOOL-000100	滚筒刷	滚筒刷 8寸	规格：8寸	只	只	来源单位一致		8寸滚筒；滚筒刷			TOOL-000100	1		保留8寸规格，单位从支统一为只	工具耗材/刷涂耗材/滚筒刷
CHEM-000143	滚筒刷	滚筒刷 中号	规格：中号	只	只	来源单位一致		中号滚筒；油漆滚筒	用途：油漆	原始规格缺失精确尺寸，按常见油漆滚筒中号创建，中号无标准尺寸，建议后续确认	CHEM-000143	1		保留中号规格，删除默认用途油漆	工具耗材/刷涂耗材/滚筒刷
