merged_item_code,governance_grade,priority,issue_type,standard_name,canonical_group_path,specs,unit,missing_specs,governance_reason,next_action,source_rows,alias_names
REVIEW-MAT-00464,C,medium,needs_human_review,风镐,工具器具/气动工具/气动工具,型号: G150,台,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:803,G150风镐
REVIEW-MAT-00465,D,high,alias_conflict,羊毛刷,工具器具/涂装工具/刷辊喷涂,规格: 4寸；材质: 羊毛,支,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:806；Sheet1:815,4寸 羊毛刷；4寸羊毛刷
REVIEW-MAT-00466,C,medium,needs_human_review,丝锥,工具器具/工具配件/工具配件,规格: M20,支,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:811,M20丝锥
REVIEW-MAT-00467,C,medium,missing_specs,万能胶,化工油漆胶粘/胶粘密封/胶粘剂,类型: 万能胶,桶,至少一个: 型号；规格；图号；适用设备；材质,未满足当前分组的关键规格模板。,确认型号、图号、适用设备和关键尺寸。,Sheet1:814,万能胶
REVIEW-MAT-00468,C,medium,needs_human_review,注浆管,工程建材/保温防水/防水堵漏,规格: DN25,米,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:817,DN25注浆管
REVIEW-MAT-00469,C,medium,missing_specs,混凝土圆斗,工具器具/其他/料斗,容量: 3立方；用途: 混凝土,个,至少一个: 型号；规格；品牌；尺寸；适用设备,未满足当前分组的关键规格模板。,确认品牌、型号/规格和适用设备。,Sheet1:822,3立方混凝土圆斗
REVIEW-MAT-00470,C,medium,needs_human_review,钢箱,设备备件与加工件/金属加工件/金属加工件,加工定做: 是；容量: 4立方；材质: 钢,个,,存在低精度或人工复核标记，需要补齐信息。,确认型号、图号、适用设备和关键尺寸。,Sheet1:823,加工定做4立方钢箱
REVIEW-MAT-00471,C,medium,low_precision_conflict,膨胀螺丝,五金备件/其他/紧固件,规格: M12*80,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级和单位。,Sheet1:824,M12*80膨胀螺丝
REVIEW-MAT-00472,D,high,alias_conflict,一次性雨衣,劳保用品/其他/雨具,类型: 一次性,套,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:825；Sheet1:885,一次性雨衣
REVIEW-MAT-00473,C,medium,specs_conflict,电缆线,电气与自动化/电线电缆与敷设/电线电缆,品牌: 起帆；规格: 3*2.5,米,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:2025；Sheet1:827,3*2.5起帆电缆；3*2.5起帆电缆线
REVIEW-MAT-00474,C,medium,specs_conflict,花篮螺丝,吊装索具/其他/拉紧器,规格: M20；类型: 花篮,个,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:829,M20花篮
REVIEW-MAT-00475,C,medium,missing_specs,卷扬机,吊装索具/其他/起重设备,载荷: 1吨,台,至少一个: 规格；型号；类型；材质；品牌；尺寸；长度；厚度；功率；包装规格；适用设备,未满足当前分组的关键规格模板。,按默认规则补齐至少一个关键规格字段。,Sheet1:830,1吨卷扬机
REVIEW-MAT-00476,C,medium,missing_specs,钢丝绳,吊装索具/吊带索具/钢丝绳链条,直径: 16mm,米,至少一个: 规格；型号；类型；材质；品牌；尺寸；长度；厚度；功率；包装规格；适用设备,未满足当前分组的关键规格模板。,按默认规则补齐至少一个关键规格字段。,Sheet1:831,16厘钢丝绳
REVIEW-MAT-00477,C,medium,missing_specs,卸扣,吊装索具/吊装连接件/卸扣吊钩,载荷: 8.5T,个,至少一个: 规格；型号；类型；材质；品牌；尺寸；长度；厚度；功率；包装规格；适用设备,未满足当前分组的关键规格模板。,按默认规则补齐至少一个关键规格字段。,Sheet1:832,8.5T卸扣
REVIEW-MAT-00478,D,high,alias_conflict,卸扣,吊装索具/吊装连接件/卸扣吊钩,载荷: 3T,个,至少一个: 规格；型号；类型；材质；品牌；尺寸；长度；厚度；功率；包装规格；适用设备,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:833,3T卸扣
REVIEW-MAT-00479,C,medium,needs_human_review,钢筋扎丝,五金备件/其他/金属丝材,长度: 50cm；包装: 5kg,个,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:834,50CM*5kg钢筋扎丝
REVIEW-MAT-00480,C,medium,missing_specs,汽油桶,工具器具/其他/容器,容量: 20L；用途: 汽油,个,至少一个: 型号；规格；品牌；尺寸；适用设备,未满足当前分组的关键规格模板。,确认品牌、型号/规格和适用设备。,Sheet1:835,20L汽油桶
REVIEW-MAT-00481,C,medium,specs_conflict,齿轮油,化工油漆胶粘/油品化学品/润滑油脂,型号: HL-20,升,,存在低精度或人工复核标记，需要补齐信息。,确认类型、品牌/型号、颜色和包装规格。,Sheet1:836,HL-20齿轮油
REVIEW-MAT-00482,C,medium,specs_conflict,焊条,焊接焊割/其他/焊材,直径: 5.0,个,,存在低精度或人工复核标记，需要补齐信息。,确认型号、直径/规格、材质和包装。,Sheet1:837,5.0电焊条
REVIEW-MAT-00483,C,medium,specs_conflict,焊条,焊接焊割/其他/焊材,直径: 4.0,个,,存在低精度或人工复核标记，需要补齐信息。,确认型号、直径/规格、材质和包装。,Sheet1:838；Sheet1:960,4.0电焊条
REVIEW-MAT-00484,C,medium,missing_specs,植筋胶,化工油漆胶粘/胶粘密封/胶粘剂,类型: 注射式,支,至少一个: 型号；规格；图号；适用设备；材质,未满足当前分组的关键规格模板。,确认型号、图号、适用设备和关键尺寸。,Sheet1:840,注射式植筋胶
REVIEW-MAT-00485,C,medium,low_precision_conflict,铁钉,五金备件/其他/紧固件,规格: 3寸,kg,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级和单位。,Sheet1:845,3寸铁钉
REVIEW-MAT-00486,C,medium,missing_specs,电源适配器,电气与自动化/电源电池/电源电池,输出: 12V 1A,个,至少一个: 型号；规格；品牌；电流；电压；功率；位数,未满足当前分组的关键规格模板。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:847,12V1A适配器
REVIEW-MAT-00487,C,medium,specs_conflict,反射片,安全防护/警示标识/反光警示,规格: 3*3,片,,存在低精度或人工复核标记，需要补齐信息。,确认类型、规格、材质和安全等级。,Sheet1:848,3*3反射片
REVIEW-MAT-00488,C,medium,specs_conflict,反射片,安全防护/警示标识/反光警示,规格: 5*5,片,,存在低精度或人工复核标记，需要补齐信息。,确认类型、规格、材质和安全等级。,Sheet1:849,5*5反射片
REVIEW-MAT-00489,C,medium,needs_human_review,海绵拖把,劳保用品/其他/清洁工具,特征: 加长；材质: 海绵,把,,存在低精度或人工复核标记，需要补齐信息。,确认类型、规格、材质和安全等级。,Sheet1:851,加长海绵拖把
REVIEW-MAT-00490,C,medium,needs_human_review,钢丝增强管,工程建材/其他/软管,规格: 1寸；结构: 钢丝增强,米,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:853,1寸钢丝增强管
REVIEW-MAT-00491,C,medium,needs_human_review,PPR热熔管,工程建材/水暖建材/水暖五金,规格: 4分；材质: PPR；连接: 热熔,米,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:862,4分PPR热融管
REVIEW-MAT-00492,C,medium,specs_conflict,扎带,电气与自动化/其他/扎带,规格: 10*50；包装: 200根/包,包,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:863,10*50扎带200根
REVIEW-MAT-00493,C,medium,specs_conflict,顶托,工程建材/其他/脚手架配件,规格: 30*500；特征: 厚,支,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:864,30*500厚顶托
REVIEW-MAT-00494,D,high,alias_conflict,电焊钳,焊接焊割/其他/焊割工具,电流: 500A,支,至少一个: 型号；规格；直径；材质；类型,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:868,500A电焊钳
REVIEW-MAT-00495,C,medium,missing_specs,深井潜水泵,设备备件与加工件/设备专用备件/设备备件,功率: 1.1kW；类型: 深井潜水泵,台,至少一个: 型号；规格；图号；适用设备；材质,未满足当前分组的关键规格模板。,确认型号、图号、适用设备和关键尺寸。,Sheet1:869；Sheet1:984,1.1千瓦深井潜水泵
REVIEW-MAT-00496,C,medium,missing_specs,海绵双面胶,化工油漆胶粘/胶粘密封/胶粘剂,基材: 海绵；类型: 双面胶,卷,至少一个: 型号；规格；图号；适用设备；材质,未满足当前分组的关键规格模板。,确认型号、图号、适用设备和关键尺寸。,Sheet1:870,海绵双面胶
REVIEW-MAT-00497,C,medium,missing_specs,污水泵,设备备件与加工件/设备专用备件/设备备件,功率: 1.5kW；类型: 污水泵,台,至少一个: 型号；规格；图号；适用设备；材质,未满足当前分组的关键规格模板。,确认型号、图号、适用设备和关键尺寸。,Sheet1:871；Sheet1:988,1.5千瓦污水泵
REVIEW-MAT-00498,C,medium,needs_human_review,PPR热熔接头,工程建材/水暖建材/水暖五金,规格: 4分；连接: 热熔,个,,存在低精度或人工复核标记，需要补齐信息。,确认材质、口径/规格、连接方式和类型。,Sheet1:872,4分热熔接头
REVIEW-MAT-00499,C,medium,needs_human_review,镀锌管,金属原材料/其他/钢管,规格: DN20；表面: 镀锌,米,,存在低精度或人工复核标记，需要补齐信息。,确认材质、规格尺寸和执行标准。,Sheet1:874,DN20镀锌管
REVIEW-MAT-00500,D,high,alias_conflict,记号笔,行政办公与清洁/其他/标识耗材,颜色: 黑色,支,至少一个: 规格；类型；品牌；包装规格,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:880；Sheet1:954,黑色笔；黑色记号笔
REVIEW-MAT-00501,C,medium,missing_specs,彩条布,工程建材/其他/防护覆盖,宽度: 4米,平方,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:886,4米彩条布
REVIEW-MAT-00502,C,medium,needs_human_review,止水蝴蝶扣,工程建材/其他/止水紧固,规格: 16*600,套,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:887,16*600止水蝴蝶扣
REVIEW-MAT-00503,D,high,alias_conflict,螺母,五金备件/其他/紧固件,规格: 16,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:1406；Sheet1:888,16螺母
REVIEW-MAT-00504,C,medium,needs_human_review,加长套筒,工具器具/其他/手动工具,规格: 18*200；特征: 加长,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:889,18*200加长套筒
REVIEW-MAT-00505,C,medium,specs_conflict,顶托,工程建材/其他/脚手架配件,规格: 38*600；特征: 厚,套,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:890,38*600厚顶托
REVIEW-MAT-00506,C,medium,missing_specs,中砂,工程建材/水泥砂石/水泥砂石,类型: 中砂,包,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:896,中沙
REVIEW-MAT-00507,D,high,alias_conflict,垃圾桶,劳保用品/其他/清洁工具,规格: 大号,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:901,大垃圾桶
REVIEW-MAT-00508,D,high,alias_conflict,编织袋,包装与标识/袋箱膜包装/袋箱膜,规格: 大号,个,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:1000；Sheet1:1006；Sheet1:1036；Sheet1:902；Sheet1:929；Sheet1:985,大号编织袋；大编织袋
REVIEW-MAT-00509,C,medium,specs_conflict,调和漆,化工油漆胶粘/油漆涂料/涂料油漆,颜色: 黑色；类型: 调和漆,桶,,存在低精度或人工复核标记，需要补齐信息。,确认类型、品牌/型号、颜色和包装规格。,Sheet1:907；Sheet1:981,黑色调和漆
REVIEW-MAT-00510,C,medium,needs_human_review,LED浴室灯,电气与自动化/照明与报警/灯具,功率: 50W；类型: 浴室灯,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:909,50WLED浴室灯
REVIEW-MAT-00511,C,medium,specs_conflict,彩钢瓦,工程建材/板材型材/板材,规格: 1*0.84,米,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:910,1*0.84彩钢瓦
REVIEW-MAT-00512,C,medium,specs_conflict,彩钢瓦,工程建材/板材型材/板材,规格: 1.6*0.84,米,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:911,1.6*0.84彩钢瓦
REVIEW-MAT-00513,C,medium,missing_specs,止水针头,工程建材/保温防水/防水堵漏,长度: 10cm,个,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:912,止水针头10CM
REVIEW-MAT-00514,C,medium,missing_specs,止水针头,工程建材/保温防水/防水堵漏,长度: 15cm,个,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:913,止水针头15CM
REVIEW-MAT-00515,C,medium,specs_conflict,聚氨酯堵漏剂,化工油漆胶粘/其他/堵漏材料,类型: 油性；材质: 聚氨酯,kg,,存在低精度或人工复核标记，需要补齐信息。,确认类型、品牌/型号、颜色和包装规格。,Sheet1:1023；Sheet1:1034；Sheet1:915；Sheet1:976,油性聚氨酯堵漏剂
REVIEW-MAT-00516,C,medium,specs_conflict,聚氨酯堵漏剂,化工油漆胶粘/其他/堵漏材料,类型: 水性；材质: 聚氨酯,kg,,存在低精度或人工复核标记，需要补齐信息。,确认类型、品牌/型号、颜色和包装规格。,Sheet1:1024；Sheet1:916；Sheet1:975,水性聚氨酯堵漏剂
REVIEW-MAT-00517,C,medium,needs_human_review,长螺杆,五金备件/其他/紧固件,规格: 14*200；类型: 长螺杆,套,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级和单位。,Sheet1:918,14*200长螺杆
REVIEW-MAT-00518,C,medium,missing_specs,防火涂层测厚仪,工具器具/其他/检测仪器,用途: 防火涂层测厚,台,至少一个: 型号；规格；品牌；尺寸；适用设备,未满足当前分组的关键规格模板。,确认品牌、型号/规格和适用设备。,Sheet1:921,防火涂层测厚仪
REVIEW-MAT-00519,C,medium,missing_specs,防水网线对接头,电气与自动化/其他/弱电材料,特征: 防水；用途: 网络对接,个,至少一个: 型号；规格；品牌；电流；电压；功率；位数,未满足当前分组的关键规格模板。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:924,防水网络对接头
REVIEW-MAT-00520,C,medium,needs_human_review,钢丝绳夹头,吊装索具/吊带索具/钢丝绳链条,规格: M10,个,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:925,M10钢丝绳夹头
REVIEW-MAT-00521,C,medium,specs_conflict,编织袋,包装与标识/袋箱膜包装/袋箱膜,规格: 小号,个,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:930,小编织袋
REVIEW-MAT-00522,C,medium,missing_specs,防坠安全网,设备备件与加工件/金属加工件/金属加工件,定制: 是；用途: 防坠,平方,至少一个: 型号；规格；图号；适用设备；材质,未满足当前分组的关键规格模板。,确认型号、图号、适用设备和关键尺寸。,Sheet1:931,定做防坠安全网
REVIEW-MAT-00523,C,medium,needs_human_review,橡胶支座,设备备件与加工件/金属加工件/金属加工件,定制: 是；材质: 橡胶；类型: 支座,个,,存在低精度或人工复核标记，需要补齐信息。,确认型号、图号、适用设备和关键尺寸。,Sheet1:933,定做橡胶支座
REVIEW-MAT-00524,C,medium,needs_human_review,电子血压计,劳保用品/其他/急救用品,品牌: 鱼跃；类型: 电子血压计,台,,存在低精度或人工复核标记，需要补齐信息。,确认类型、规格、材质和安全等级。,Sheet1:935,鱼跃电子血压计
REVIEW-MAT-00525,C,medium,needs_human_review,太阳能LED灯,电气与自动化/照明与报警/灯具,品牌: 公牛；功率: 80W；供电: 太阳能,套,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:938,公牛80w太阳能LED灯
REVIEW-MAT-00526,C,medium,needs_human_review,安全帽一字带,劳保用品/其他/头部防护配件,适用: 安全帽；类型: 一字带,个,,存在低精度或人工复核标记，需要补齐信息。,确认类型、规格、材质和安全等级。,Sheet1:939,安全帽一字带
REVIEW-MAT-00527,C,medium,needs_human_review,LED灯带,电气与自动化/照明与报警/灯具,品牌: 雷士；电压: 36V；灯珠: 120珠,米,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:940,雷士36V120珠灯带LED
REVIEW-MAT-00528,C,medium,needs_human_review,开关电源,电气与自动化/电源电池/电源电池,输出电压: 36V；功率: 400W,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:941；Sheet1:987,36V 400w电源
REVIEW-MAT-00529,C,medium,missing_specs,潜水泵,设备备件与加工件/设备专用备件/设备备件,电压: 380V；功率: 2.2kW,台,至少一个: 型号；规格；图号；适用设备；材质,未满足当前分组的关键规格模板。,确认型号、图号、适用设备和关键尺寸。,Sheet1:942,380V 2.2千w潜水泵
REVIEW-MAT-00530,C,medium,specs_conflict,五坑钻头,工具器具/工具配件/工具配件,品牌: 方大同；规格: 35*500；柄型: 五坑,支,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:944,方大同35*500五坑钻头
REVIEW-MAT-00531,C,medium,low_precision_conflict,冲击钻头,工具器具/工具配件/工具配件,品牌: 方大同；规格: 18*400,支,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:945,方大同18x400冲击钻头
REVIEW-MAT-00532,C,medium,low_precision_conflict,冲击钻头,工具器具/工具配件/工具配件,品牌: 方大同；规格: 30*400,支,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:946,方大同30x400冲击钻头
REVIEW-MAT-00533,C,medium,missing_specs,黑扎丝,五金备件/其他/金属丝材,直径: 1mm；颜色: 黑色,米,至少一个: 规格；型号；类型；材质；品牌；尺寸；长度；厚度；功率；包装规格；适用设备,未满足当前分组的关键规格模板。,按默认规则补齐至少一个关键规格字段。,Sheet1:951,1mm黑扎丝
REVIEW-MAT-00534,C,medium,missing_specs,黑扎丝,五金备件/其他/金属丝材,直径: 2mm；颜色: 黑色,米,至少一个: 规格；型号；类型；材质；品牌；尺寸；长度；厚度；功率；包装规格；适用设备,未满足当前分组的关键规格模板。,按默认规则补齐至少一个关键规格字段。,Sheet1:952,2mm黑扎丝
REVIEW-MAT-00535,C,medium,needs_human_review,总开关,电气与自动化/低压电器/低压电器,电流: 100A；用途: 总开关,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:956,100A总开关
REVIEW-MAT-00536,C,medium,low_precision_conflict,漏电保护器,电气与自动化/低压电器/低压电器,电流: 40A；类型: 漏电保护,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:957,40A漏电保护
REVIEW-MAT-00537,C,medium,low_precision_conflict,空气开关,电气与自动化/低压电器/低压电器,电流: 16A,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:958,16A空开
REVIEW-MAT-00538,C,medium,specs_conflict,五坑钻头,工具器具/工具配件/工具配件,规格: 28*800；柄型: 五坑,支,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:962,28*800五孔钻头
REVIEW-MAT-00539,C,medium,missing_specs,绝缘胶带,电气与自动化/其他/电工耗材,类型: 绝缘胶带,卷,至少一个: 型号；规格；品牌；电流；电压；功率；位数,未满足当前分组的关键规格模板。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:965,绝缘胶带
REVIEW-MAT-00540,C,medium,missing_specs,电源极性检测器,工具器具/其他/检测仪器,用途: 电源极性检测,台,至少一个: 型号；规格；品牌；尺寸；适用设备,未满足当前分组的关键规格模板。,确认品牌、型号/规格和适用设备。,Sheet1:967,电源极性检测器
REVIEW-MAT-00541,C,medium,missing_specs,沉降观测钉带牌,工程建材/其他/测量标识,类型: 观测钉；包含: 标识牌,套,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:968,沉降观测钉带牌
REVIEW-MAT-00542,C,medium,missing_specs,十字测钉,工程建材/其他/测量标识,表面: 镀锌；类型: 十字测钉,个,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:969,镀锌十字测钉
REVIEW-MAT-00543,C,medium,missing_specs,LED充电头灯,电气与自动化/照明与报警/灯具,类型: 头灯；供电: 充电；光源: LED,个,至少一个: 型号；规格；品牌；电流；电压；功率；位数,未满足当前分组的关键规格模板。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:974,LED充电头灯
REVIEW-MAT-00544,C,medium,specs_conflict,五坑钻头,工具器具/工具配件/工具配件,品牌: 方大同；规格: 14*400；柄型: 五坑,支,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:977,方大同14*400五孔钻头
REVIEW-MAT-00545,C,medium,specs_conflict,五坑钻头,工具器具/工具配件/工具配件,品牌: 方大同；规格: 14*600；柄型: 五坑,支,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:978,方大同14*600五孔钻头
REVIEW-MAT-00546,C,medium,specs_conflict,五坑钻头,工具器具/工具配件/工具配件,品牌: 方大同；规格: 16*280；柄型: 五坑,支,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:979,方大同16*280五孔钻头
REVIEW-MAT-00547,C,medium,specs_conflict,彩钢瓦,工程建材/板材型材/板材,厚度/规格: 0.5,平方,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:992,0.5彩钢瓦
REVIEW-MAT-00548,D,high,alias_conflict,油布,工程建材/其他/防护覆盖,特征: 加厚,平方,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:1231；Sheet1:994,加厚油布
REVIEW-MAT-00549,C,medium,missing_specs,灭火器,消防器材/灭火器与水带/灭火器,容量: 4KG,支,至少一个: 规格；型号；类型；材质；品牌；尺寸；长度；厚度；功率；包装规格；适用设备,未满足当前分组的关键规格模板。,按默认规则补齐至少一个关键规格字段。,Sheet1:997,4KG灭火器
REVIEW-MAT-00550,C,medium,needs_human_review,消防箱,消防器材/消防工具/消防工具,类型: 消防箱,个,,存在低精度或人工复核标记，需要补齐信息。,按默认规则补齐至少一个关键规格字段。,Sheet1:998,消防箱子
REVIEW-MAT-00551,D,high,alias_conflict,铁丝,五金备件/其他/金属丝材,规格: 14号,公斤,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:999,14号铁丝
REVIEW-MAT-00552,C,medium,needs_human_review,马路切割片,工具器具/其他/磨切耗材,规格: 400；用途: 马路切割,块,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号/规格和适用设备。,Sheet1:1001,400马路切片
REVIEW-MAT-00553,C,medium,missing_specs,塞尺,工具器具/量具测量/量具测量,材质: 铜,个,至少一个: 型号；规格；品牌；尺寸；适用设备,未满足当前分组的关键规格模板。,确认品牌、型号/规格和适用设备。,Sheet1:1004,铜塞尺
REVIEW-MAT-00554,C,medium,specs_conflict,不锈钢球阀,工程建材/其他/阀门,规格: 25；材质: 不锈钢；类型: 球阀,个,,存在低精度或人工复核标记，需要补齐信息。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:1007,25不锈钢球阀
REVIEW-MAT-00555,C,medium,missing_specs,电源线,电气与自动化/电线电缆与敷设/电线电缆,长度: 2米,条,至少一个: 型号；规格；品牌；电流；电压；功率；位数,未满足当前分组的关键规格模板。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:1014,2米电源线
REVIEW-MAT-00556,D,high,alias_conflict,塑料扫把,劳保用品/其他/清洁工具,材质: 塑料,把,,存在阻塞冲突，不能自动放行。,先解决别名、单位或分组冲突，不要自动创建物料。,Sheet1:1016,塑料扫把
REVIEW-MAT-00557,C,medium,needs_human_review,路由器,电气与自动化/其他/网络设备,品牌: 华为；速率: 1000M,套,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:1018,1000M华为路由器
REVIEW-MAT-00558,C,medium,missing_specs,电视支架,行政办公与清洁/办公用品/文具书写,适配尺寸: 70寸,个,至少一个: 规格；类型；品牌；包装规格,未满足当前分组的关键规格模板。,确认规格、品牌和包装单位。,Sheet1:1020,70寸电视支架
REVIEW-MAT-00559,C,medium,missing_specs,变频空调,设备备件与加工件/其他/通用电器,品牌: 格力；匹数: 3匹；类型: 变频,台,至少一个: 型号；规格；图号；适用设备；材质,未满足当前分组的关键规格模板。,确认型号、图号、适用设备和关键尺寸。,Sheet1:1021,格力3匹变频空调
REVIEW-MAT-00560,C,medium,needs_human_review,保险管,电气与自动化/低压电器/低压电器,电流: 32A,个,,存在低精度或人工复核标记，需要补齐信息。,确认品牌、型号、电气参数和安装/连接方式。,Sheet1:1022,32A保险管
REVIEW-MAT-00561,C,medium,needs_human_review,打印机电源线,行政办公与清洁/其他/办公设备配件,适用设备: 打印机；类型: 电源线,条,,存在低精度或人工复核标记，需要补齐信息。,确认规格、品牌和包装单位。,Sheet1:1027,打印机电源线
REVIEW-MAT-00562,C,medium,needs_human_review,打印机数据线,行政办公与清洁/其他/办公设备配件,适用设备: 打印机；类型: 数据线,条,,存在低精度或人工复核标记，需要补齐信息。,确认规格、品牌和包装单位。,Sheet1:1028,打印机数据线
REVIEW-MAT-00563,C,medium,missing_specs,雾化喷头,工程建材/其他/喷淋配件,用途: 加湿；类型: 雾化喷头,个,至少一个: 规格；型号；材质；厚度；尺寸；包装规格；强度等级,未满足当前分组的关键规格模板。,确认规格、材质/强度等级、尺寸和包装单位。,Sheet1:1029,加湿雾化喷头
REVIEW-MAT-00564,C,medium,missing_specs,泡沫双面胶,化工油漆胶粘/胶粘密封/胶粘剂,基材: 泡沫；类型: 双面胶,个,至少一个: 型号；规格；图号；适用设备；材质,未满足当前分组的关键规格模板。,确认型号、图号、适用设备和关键尺寸。,Sheet1:1030,泡沫双面胶
REVIEW-MAT-00565,C,medium,needs_human_review,101胶水,化工油漆胶粘/胶粘密封/胶粘剂,型号: 101,个,,存在低精度或人工复核标记，需要补齐信息。,确认型号、图号、适用设备和关键尺寸。,Sheet1:1031,101胶水
