"sequence","excel_row","raw_name","standard_name","item_group","specs","unit","status","question"
"612","613","加厚龙骨","龙骨","建筑材料/装饰型材","特征: 加厚","米","待确认","材质/规格/用途缺失"
"613","614","螺丝配件","螺丝配件","五金备件/紧固件","类型: 螺丝配件","件","待确认","名称过泛，规格/组成缺失"
"614","615","160KG压力油表","压力表","液压/仪表传感器","压力: 160KG；用途: 油压","个","待确认","表盘直径/接口/量程单位需确认"
"615","616","铜转接头","铜转接头","工程材料/管件","材质: 铜；类型: 转接头","个","待确认","规格/连接形式缺失"
"616","617","18*13高压直通","高压直通","液压/高压管路","两端规格: 18*13；类型: 直通","个","待确认","螺纹/压力等级缺失"
"617","618","20*18高压直通","高压直通","液压/高压管路","两端规格: 20*18；类型: 直通","个","待确认","螺纹/压力等级缺失"
"618","619","24*18高压直通","高压直通","液压/高压管路","两端规格: 24*18；类型: 直通","个","待确认","螺纹/压力等级缺失"
"619","620","熟胶加厚铺地毯","熟胶地毯","建筑材料/地面材料","材质: 熟胶；特征: 加厚；用途: 铺地","平方","待确认","厚度/宽度/材质标准缺失"
"630","631","得力电动工具38件","电动工具套装","工具器具/电动工具","品牌: 得力；套装数量: 38件","套","待确认","套装明细/型号缺失"
"631","632","水泵遥控","水泵遥控器","电气材料/自动化备件","适用设备: 水泵；类型: 遥控","套","待确认","电压/频率/适配控制器缺失"
"637","638","通针","通针","焊接耗材/焊割配件","类型: 通针","合","待确认","单位疑似盒；规格/用途缺失"
"639","640","15高压直通","高压直通","液压/高压管路","规格: 15；类型: 直通","个","待确认","螺纹/压力等级缺失"
"640","641","15*18H高压直通","高压直通","液压/高压管路","两端规格: 15*18H；类型: 直通","个","待确认","H含义/螺纹/压力等级缺失"
"641","642","15*24H高压直通","高压直通","液压/高压管路","两端规格: 15*24H；类型: 直通","个","待确认","H含义/螺纹/压力等级缺失"
"645","646","进口门锁","门锁","五金备件/锁具","特征: 进口","套","待确认","品牌/规格/用途缺失"
"646","647","3*3角铁","角钢","原材料/型钢","规格: 3*3","米","待确认","单位应为cm还是mm？厚度/材质缺失"
"647","648","6mm螺丝","螺丝","五金备件/紧固件","规格: 6mm","个","待确认","是否M6？长度/材质缺失"
"648","649","4.5.6mm垫片","垫片","五金备件/紧固件","规格: 4mm、5mm、6mm","个","待确认","一行含多个规格，建议拆分"
"650","651","20A4角插头","四脚插头","电气材料/插头插座","电流: 20A；类型: 4脚插头","个","待确认","“4角”是否为四脚/四孔需确认"
"658","659","伸缩杆","伸缩杆","安全设施/隔离设施","类型: 伸缩杆","支","待确认","用途/长度/配套底座缺失"
"659","660","单芯线","单芯线","电气材料/电线电缆","类型: 单芯线","米","待确认","截面积/颜色/线型缺失"
"663","664","25不锈钢卡扣","不锈钢卡扣","五金备件/通用五金","规格: 25；材质: 不锈钢","个","待确认","用途/连接形式缺失"
"664","665","2.1ASUB公牛插座","USB插座","电气材料/插头插座","品牌: 公牛；USB输出: 2.1A","套","待确认","“SUB”应为USB；安装方式缺失"
"665","666","线槽","线槽","电气材料/电缆附件","类型: 线槽","条","待确认","规格/材质/长度缺失"
"668","669","灯座","灯座","电气材料/照明","类型: 灯座","个","待确认","规格/E27等接口缺失"
"672","673","底合","底盒","电气材料/插头插座","类型: 底盒","个","待确认","“底合”应为底盒；规格缺失"
"674","675","维修推进泵换铜线圈","推进泵维修服务","服务费用/维修服务","服务: 维修推进泵；更换件: 铜线圈","个","待确认","若铜线圈单独管库存需拆为备件"
"675","676","维修电焊机","电焊机维修服务","服务费用/维修服务","服务: 维修电焊机","个","待确认","应作为维修服务，不建议入库存物料"
"676","677","热水器水阀","热水器水阀","工程材料/水暖五金","适用设备: 热水器；类型: 水阀","个","待确认","规格/材质/接口缺失"
"683","684","吊灯头","吊灯头","电气材料/照明","类型: 吊灯头","个","待确认","灯口规格/材质缺失"
"691","692","好地坪漆（灰黄緑）20KG","地坪漆面漆","化工耗材/涂料","品牌/系列: 好地坪漆；颜色: 灰/黄/绿；包装: 20KG","桶","待确认","一行含多个颜色，建议按颜色拆分"
"699","700","10厘螺母垫片","螺母垫片套装","五金备件/紧固件","规格: 10厘；组成: 螺母+垫片","套","待确认","建议拆为M10螺母和M10垫片"
"702","703","35六角钻尾螺丝","六角钻尾螺丝","五金备件/紧固件","规格: 35；类型: 六角钻尾","个","待确认","直径/长度表达不完整"
"704","705","88F锂电池","锂电池","电气材料/电池","型号: 88F；类型: 锂电池","个","待确认","电压/容量/适配工具缺失"
"709","710","好地坪漆（灰黄緑）20KG","地坪漆面漆","化工耗材/涂料","品牌/系列: 好地坪漆；颜色: 灰/黄/绿；包装: 20KG","桶","待确认","一行含多个颜色，建议按颜色拆分"
"716","717","LED120000照明灯+遥控+定时","LED照明灯","电气材料/照明","类型: LED；亮度/型号: 120000；包含: 遥控、定时","套","待确认","120000含义、功率、防护等级缺失"
"725","726","德高外墙腻子粉20KG","外墙腻子粉","建筑材料/腻子粉","品牌: 德高；用途: 外墙；包装: 20KG","KG","待确认","单位为KG但数量20，是否1包20KG需确认"
"726","727","108胶水20KG","108胶水","化工耗材/胶粘剂","型号: 108；包装: 20KG","KG","待确认","单位为KG但数量20，是否1桶20KG需确认"
"727","728","DN32注浆管","注浆管","工程材料/注浆材料","规格: DN32","米","待确认","源数据单位/数量错位，数量缺失"
"728","729","DN25加厚铜止回阀","铜止回阀","工程材料/阀门","规格: DN25；材质: 铜；特征: 加厚","个","待确认","源数据单位/数量错位，压力等级缺失"
"729","730","DN25接头","接头","工程材料/管件","规格: DN25","个","待确认","源数据单位/数量错位，材质/连接形式缺失"
"730","731","DN25外丝","外丝接头","工程材料/管件","规格: DN25；类型: 外丝","个","待确认","源数据单位/数量错位，材质缺失"
"731","732","DN32管打牙","管打牙服务","服务费用/加工服务","规格: DN32；工序: 打牙","个","待确认","更像加工服务；源数据单位/数量错位"
"732","733","7.5千瓦渣浆泵离合器","渣浆泵离合器","设备备件/泵类备件","适用设备: 渣浆泵；功率: 7.5kW；类型: 离合器","套","待确认","适配泵型号缺失"
"734","735","7.5*900转千瓦立式电机","立式电机","电气材料/电机","功率: 7.5kW；转速: 900转；安装: 立式","台","待确认","原文“7.5*900转千瓦”需规范，电压缺失"
"735","736","5.5千瓦高压泵头总成","高压泵头总成","设备备件/泵类备件","功率: 5.5kW；类型: 泵头总成","台","待确认","适用泵型号/材质缺失"
"743","744","洗漱用品","洗漱用品套装","行政后勤/生活用品","类型: 洗漱用品套装","套","待确认","套装明细缺失"
"747","748","64KG*32高压安全阀","高压安全阀","液压/阀门","压力: 64KG；规格: 32；类型: 安全阀","个","待确认","量程单位/连接形式缺失"
"748","749","36高压接头","高压接头","液压/高压管路","规格: 36","个","待确认","螺纹/压力等级/形式缺失"
"752","753","M36高压内丝直通","高压内丝直通","液压/高压管路","规格: M36；连接: 内丝；类型: 直通","个","待确认","压力等级/螺纹制式缺失"
"755","756","防水配电箱","防水配电箱","电气材料/配电箱","特征: 防水","个","待确认","尺寸/IP等级/材质缺失"
"756","757","2P施耐德漏电开关","漏电断路器","电气材料/低压电器","品牌: 施耐德；极数: 2P","个","待确认","电流/漏电动作电流缺失"
"757","758","5孔插座","五孔插座","电气材料/插头插座","类型: 五孔插座","个","可合并/待确认","与前文同类，品牌/电流缺失"
"758","759","5T地轮","地轮","吊装索具/行车配件","载荷: 5T；类型: 地轮","个","待确认","适用设备/轮径/材质缺失"
"762","763","公牛一体开关","一体开关","电气材料/开关","品牌: 公牛；类型: 一体开关","个","待确认","位数/电流/安装方式缺失"
"763","764","公牛插头","插头","电气材料/插头插座","品牌: 公牛","个","可合并/待确认","与前文同类，电流/脚数缺失"
"772","773","钻尾螺丝","钻尾螺丝","五金备件/紧固件","类型: 钻尾螺丝","合","待确认","单位疑似盒；规格缺失"
"776","777","加厚不锈钢球阀","不锈钢球阀","工程材料/阀门","材质: 不锈钢；特征: 加厚；类型: 球阀","个","待确认","规格/压力等级/连接形式缺失"
"779","780","釜头","斧头","工具器具/手动工具","类型: 斧头；原名: 釜头","把","待确认","原文是否为“斧头”错字需确认"
"780","781","棉被","棉被","行政后勤/生活用品","类型: 棉被","张","可合并/待确认","与第740行被子是否同物料需确认"
"783","784","电胶布","电工胶布","电气材料/电工耗材","类型: 电工胶布","个","可合并/待确认","单位建议卷；颜色/宽度缺失"
"786","787","乙炔","乙炔","焊接耗材/工业气体","类型: 乙炔","瓶","待确认","气体充装还是钢瓶采购需确认"
"788","789","灯管底座","灯管底座","电气材料/照明","类型: 灯管底座","个","待确认","适配灯管规格缺失"
"795","796","8*8镀锌方钢","镀锌方钢","原材料/型钢","规格: 8*8；表面: 镀锌","米","待确认","单位是cm还是mm？壁厚缺失"
"796","797","7*7镀锌方钢","镀锌方钢","原材料/型钢","规格: 7*7；表面: 镀锌","米","待确认","单位是cm还是mm？壁厚缺失"
"797","798","8*8镀锌角铁","镀锌角钢","原材料/型钢","规格: 8*8；表面: 镀锌","米","待确认","单位是cm还是mm？厚度缺失"
"798","799","4*4镀锌方钢","镀锌方钢","原材料/型钢","规格: 4*4；表面: 镀锌","米","待确认","单位是cm还是mm？壁厚缺失"
"801","802","报警器","报警器","安全设施/报警设备","类型: 报警器","个","待确认","用途/电压/声光类型缺失"
"803","804","800风镐钻头","风镐钻头","工具器具/工具配件","规格/型号: 800；适用设备: 风镐","支","待确认","具体规格/柄型缺失"
"804","805","DN13*4SH高压胶管","高压胶管","液压/高压管路","规格: DN13；层级: 4SH","米","可建档/待确认","接头形式/压力等级缺失"
"806","807","油漆","油漆","化工耗材/涂料","类型: 油漆","桶","待确认","颜色/类型/品牌/包装全部缺失"
"807","808","700*700*6方钢","方钢","原材料/型钢","规格: 700*700*6","米","待确认","规格不符合常见方钢表达，需确认是否70*70*6"
"808","809","DN19高压风管","高压风管","气动/高压管路","规格: DN19；用途: 风管","米","可建档/待确认","压力等级/接头形式缺失"
"809","810","接头","接头","工程材料/管件","类型: 接头","个","待确认","裸名不能建档，规格/材质/用途缺失"
"815","816","18尼龙线绳","尼龙绳","吊装索具/绳索","直径: 18；材质: 尼龙；类型: 线绳","米","可合并/待确认","与第690行是否同物料需确认"
"817","818","注浆管封口","注浆管封口","工程材料/注浆材料","适用物料: 注浆管；类型: 封口","个","待确认","适配规格/材质缺失"
"818","819","金属固定扣件","金属固定扣件","五金备件/通用五金","材质: 金属；类型: 固定扣件","个","待确认","规格/用途缺失"
"819","820","PVC导管","PVC导管","工程材料/PVC管件","材质: PVC；类型: 导管","米","待确认","规格/壁厚缺失"
"820","821","25*20三通","异径三通","工程材料/管件","规格: 25*20；类型: 三通","个","待确认","材质/连接形式缺失"
"838","839","M16微动开关总成","微动开关总成","电气材料/自动化备件","规格: M16；类型: 微动开关总成","个","待确认","适配设备/触点形式缺失"
"840","841","4*4镀锌方钢","镀锌方钢","原材料/型钢","规格: 4*4；表面: 镀锌","米","可合并/待确认","与第798行同物料，规格单位/壁厚缺失"
"842","843","LED灯适配器","LED灯适配器","电气材料/照明配件","适用设备: LED灯；类型: 适配器","个","待确认","输入/输出电压功率缺失"
"843","844","松木4*9*4木方","松木木方","建筑材料/模板木方","材质: 松木；规格: 4*9*4","米","待确认","规格单位/长度表达需确认"
"849","850","60*24加气混凝土砌砖","加气混凝土砌块","建筑材料/砌块砖","规格: 60*24；材质: 加气混凝土","块","待确认","厚度/强度等级缺失"
"851","852","汽油","汽油","化工耗材/燃料","类型: 汽油","升","待确认","标号/危险品管理要求缺失"
"853","854","红白棋","红白旗","安全设施/警示用品","颜色: 红白；原名: 红白棋","米","待确认","是否为红白旗/警示带错字需确认"
"854","855","将军帽","将军帽","工程材料/管件","类型: 将军帽","个","待确认","用途/规格/材质缺失"
"855","856","好緑草皮3.0","人工草皮","装饰/地面材料","品牌/系列: 好绿；规格: 3.0","平方","待确认","“緑”规范为绿；厚度/草高缺失"
"856","857","维修空调","空调维修服务","服务费用/维修服务","服务: 维修空调","次","待确认","服务项目明细缺失"
"857","858","氧气","氧气","焊接耗材/工业气体","类型: 氧气","瓶","待确认","气体充装还是钢瓶采购需确认"
"858","859","乙炔","乙炔","焊接耗材/工业气体","类型: 乙炔","瓶","待确认","气体充装还是钢瓶采购需确认"
"859","860","4.0钢管","钢管","原材料/钢管","规格: 4.0","米","待确认","外径/壁厚/材质缺失"
"860","861","厚模板","模板","建筑材料/模板木方","特征: 厚","张","待确认","尺寸/厚度/材质缺失"
"864","865","氧气","氧气","焊接耗材/工业气体","类型: 氧气","瓶","可合并/待确认","与第857行同物料，充装/钢瓶需确认"
"865","866","乙炔","乙炔","焊接耗材/工业气体","类型: 乙炔","瓶","可合并/待确认","与第858行同物料，充装/钢瓶需确认"
"866","867","6公分道路盖线板","道路盖线板","工程材料/道路材料","规格: 6公分","米","待确认","材质/用途/宽度缺失"
"872","873","对讲机充电器","对讲机充电器","电气材料/通讯设备配件","适用设备: 对讲机；类型: 充电器","个","待确认","适配型号/输入输出缺失"
"874","875","加工打牙","打牙加工服务","服务费用/加工服务","工序: 打牙","个","待确认","应作为加工服务，规格/对象缺失"
"875","876","接头","接头","工程材料/管件","类型: 接头","个","待确认","裸名不能建档，规格/材质/用途缺失"
"876","877","4.0电焊条","焊条","焊接耗材/焊材","直径: 4.0","箱","可合并/待确认","与第837行同物料，单位件/箱需换算"
"878","879","白色笔","记号笔","办公/标识耗材","颜色: 白色","支","可合并/待确认","是否白色记号笔需确认"
"880","881","4.0钢管脚手架","脚手架钢管","建筑材料/脚手架配件","规格: 4.0；用途: 脚手架","米","待确认","外径/壁厚/材质缺失"
"881","882","氧气","氧气","焊接耗材/工业气体","类型: 氧气","瓶","可合并/待确认","与第857行同物料，充装/钢瓶需确认"
"882","883","乙炔","乙炔","焊接耗材/工业气体","类型: 乙炔","瓶","可合并/待确认","与第858行同物料，充装/钢瓶需确认"
"883","884","大盒石笔","石笔","办公/标识耗材","包装: 大盒","合","待确认","单位疑似盒；每盒数量缺失"
"892","893","水泥钉","水泥钉","五金备件/紧固件","类型: 水泥钉","合","待确认","单位疑似盒；规格缺失"
"896","897","90C不锈钢弯头500","不锈钢90度弯头","工程材料/管件","材质: 不锈钢；角度: 90度；规格: 500","个","待确认","“90C”应为90度？口径/厚度缺失"
"897","898","不锈钢方弯头400","不锈钢方弯头","工程材料/管件","材质: 不锈钢；规格: 400；类型: 方弯头","个","待确认","尺寸/厚度/角度缺失"
"898","899","加长风管","加长风管","气动/高压管路","特征: 加长；类型: 风管","米","待确认","口径/压力/材质缺失"
"903","904","稀释剂","稀释剂","化工耗材/稀释清洗","类型: 稀释剂","个","待确认","单位应为桶/瓶？容量/品牌缺失"
"904","905","滚筒","滚筒刷","工具器具/涂装工具","类型: 滚筒刷","个","待确认","规格/材质缺失"
"905","906","毛刷","毛刷","工具器具/涂装工具","类型: 毛刷","个","待确认","规格/材质缺失"
"907","908","羊毛刷","羊毛刷","工具器具/涂装工具","材质: 羊毛","个","待确认","规格缺失"
"913","914","止水针头由头","止水针头配件","工程材料/堵漏注浆材料","类型: 由头/接头","个","待确认","“由头”含义需确认，规格缺失"
"916","917","518胶手套","胶手套","劳保耗材/手套","型号/别名: 518；类型: 胶手套","双","待确认","518含义/材质缺失"
"918","919","木杆子","木杆","建筑材料/木材","类型: 木杆","根","待确认","直径/长度/材质缺失"
"919","920","修理空调","空调维修服务","服务费用/维修服务","服务: 修理空调","台","待确认","应按服务费用管理，服务明细缺失"
"921","922","铁丝","铁丝","五金备件/金属丝材","类型: 铁丝","KG","待确认","规格号/材质/镀锌缺失"
"925","926","扎丝","扎丝","五金备件/金属丝材","类型: 扎丝","件","待确认","丝径/长度/包装缺失"
"926","927","6公分道路盖线板","道路盖线板","工程材料/道路材料","规格: 6公分","米","可合并/待确认","与第866行同物料，材质/宽度缺失"
"927","928","五点式安全带","五点式安全带","劳保耗材/坠落防护","类型: 五点式","套","可合并/待确认","与第551行同类，标准/载荷缺失"
"931","932","焊刚净化器","焊烟净化器","设备/环保设备","用途: 焊烟净化；原名: 焊刚净化器","台","待确认","是否为焊烟净化器错字？风量/功率缺失"
"933","934","6mm钢丝绳6米","钢丝绳","吊装索具/钢丝绳","直径: 6mm；长度: 6米","根","可合并/待确认","与第476行同族，端头形式缺失"
"935","936","304防坠网固定机","防坠网固定件","安全设施/防护网配件","材质: 304；用途: 防坠网固定","个","待确认","“固定机”是否为固定件？规格缺失"
"936","937","乙炔","乙炔","焊接耗材/工业气体","类型: 乙炔","瓶","可合并/待确认","充装/钢瓶需确认"
"942","943","50绿色软管","绿色软管","工程材料/软管","规格: 50；颜色: 绿色","米","待确认","材质/压力等级缺失"
"946","947","3000目阻燃高密绿色网","阻燃安全网","安全设施/防护网","规格: 3000目；特征: 阻燃、高密；颜色: 绿色","个","待确认","单位是否应为平方/张？尺寸缺失"
"947","948","氧气","氧气","焊接耗材/工业气体","类型: 氧气","瓶","可合并/待确认","充装/钢瓶需确认"
"948","949","乙炔","乙炔","焊接耗材/工业气体","类型: 乙炔","瓶","可合并/待确认","充装/钢瓶需确认"
"949","950","5x5*0.6角铁","角钢","原材料/型钢","规格: 5*5*0.6","米","待确认","单位是cm还是mm？材质缺失"
"954","955","加厚照色分配电箱","分配电箱","电气材料/配电箱","特征: 加厚；原名: 照色分配电箱","个","待确认","“照色”含义不清，尺寸/IP等级缺失"
"960","961","50*50国标角铁","角钢","原材料/型钢","规格: 50*50；标准: 国标","米","待确认","厚度缺失，是否50*50*6需确认"
"962","963","乙炔","乙炔","焊接耗材/工业气体","类型: 乙炔","瓶","可合并/待确认","充装/钢瓶需确认"
"963","964","氧气","氧气","焊接耗材/工业气体","类型: 氧气","瓶","可合并/待确认","充装/钢瓶需确认"
"965","966","10*50/40扎带","扎带","电气材料/扎带","规格: 10*50、10*40","包","待确认","一行含两个规格，建议拆分"
"969","970","定做双层棉窗","双层棉窗","定制件/门窗制品","定制: 是；结构: 双层；材质/填充: 棉","块","待确认","尺寸/用途/图纸缺失"
"971","972","单项三插","单相三插","电气材料/插头插座","相数: 单相；类型: 三插","个","待确认","“单项”应为单相，电流缺失"
"972","973","三项四插","三相四插","电气材料/插头插座","相数: 三相；类型: 四插","个","待确认","“三项”应为三相，电流缺失"
"981","982","维修空调加氟","空调维修加氟服务","服务费用/维修服务","服务: 维修空调；项目: 加氟","次","待确认","应作为服务费用；制冷剂类型缺失"
"982","983","换铜管","换铜管服务","服务费用/维修服务","服务: 更换铜管","米","待确认","若铜管入库需拆备件，否则按服务"
"985","986","加厚道路地槽","道路地槽","工程材料/道路材料","特征: 加厚","米","待确认","材质/规格/用途缺失"
"988","989","人行道闸开关","道闸开关","电气材料/安防门禁","适用设备: 人行道闸；类型: 开关","套","待确认","型号/控制方式缺失"
"990","991","混凝土抗压试膜","混凝土抗压试模","工具器具/检测器具","用途: 混凝土抗压试验；原名: 试膜","个","待确认","应为试模？尺寸缺失"
"992","993","3.0草皮加厚","人工草皮","装饰/地面材料","规格: 3.0；特征: 加厚","平方","可合并/待确认","与第855行是否同物料需确认"
"994","995","水泵叶轮","水泵叶轮","设备备件/泵类备件","适用设备: 水泵；类型: 叶轮","套","待确认","泵型号/材质/尺寸缺失"
"1001","1002","温度计","温度计","工具器具/测量工具","类型: 温度计","个","待确认","量程/精度/形式缺失"
"1002","1003","5*4安全警示带","安全警示带","安全设施/警示用品","规格: 5*4","米","待确认","宽度/颜色/材质缺失"
"1008","1009","5.5*5二线槽","线槽","电气材料/电缆附件","规格: 5.5*5；类型: 二线槽","米","待确认","材质/尺寸单位缺失"
"1009","1010","软管","软管","工程材料/软管","类型: 软管","个","待确认","裸名不能建档，规格/材质/长度缺失"
"1011","1012","水带100","消防水带","消防器材/水带","规格: 100","米","待确认","口径/压力等级/材质缺失"
"1016","1017","黑黄幻光胶带","黑黄警示胶带","安全设施/警示用品","颜色: 黑黄；原名: 幻光胶带","米","待确认","是否为反光/警示胶带需确认"
"1018","1019","高压软管压头","高压软管压头","液压/高压管路","适用: 高压软管；类型: 压头","套","待确认","规格/压力等级缺失"
"1024","1025","发泡剂","发泡剂","化工耗材/填缝剂","类型: 发泡剂","KG","待确认","常见单位为支/瓶，包装和用途需确认"
"1032","1033","大号子扫把","大号扫把","劳保耗材/清洁工具","规格: 大号；原名: 大号子扫把","支","待确认","“子扫把”是否错字需确认"
"1037","1038","手套","手套","劳保耗材/手套","类型: 手套","双","待确认","裸名，材质/用途缺失"
"1038","1039","518手套","518手套","劳保耗材/手套","型号/别名: 518","双","可合并/待确认","与第916行同类，材质缺失"
"1039","1040","氧气","氧气","焊接耗材/工业气体","类型: 氧气","瓶","可合并/待确认","充装/钢瓶需确认"
"1040","1041","乙炔","乙炔","焊接耗材/工业气体","类型: 乙炔","瓶","可合并/待确认","充装/钢瓶需确认"
"1043","1044","加工窗帘","窗帘加工服务","服务费用/加工服务","服务: 窗帘加工","平方","待确认","若成品窗帘入库需拆为定制件"
"1044","1045","窗帘机子","窗帘电机","行政后勤/设施配件","用途: 窗帘；类型: 电机/机子","套","待确认","“机子”具体类型/型号缺失"
"1045","1046","4千瓦喷淋","喷淋设备","设备/环保喷淋设备","功率: 4kW","台","待确认","是喷淋泵还是整套喷淋设备需确认"
"1047","1048","3010自动喷头好","自动喷头","工程材料/喷淋配件","型号: 3010；类型: 自动喷头","个","待确认","“好”疑似多余字，规格/材质缺失"
"1048","1049","大胶椎","大胶锥","工具器具/通用工具","材质: 橡胶；规格: 大号；原名: 大胶椎","个","待确认","是否为胶锥/胶锤需确认"
"1049","1050","502水块","502水块","行政后勤/临时消耗品","原名: 502水块","块","待确认","名称无法识别，是否冰块/水块？"
"1050","1051","32热熔胶接头","热熔接头","工程材料/PPR管件","规格: 32；连接: 热熔","个","待确认","“胶接头”材质/品牌需确认"
"1059","1060","18位锁盘 牌","锁盘牌","安全设施/锁具管理","规格: 18位；类型: 锁盘/牌","个","待确认","名称含空格，具体用途需确认"
"1071","1072","18位挂锁","挂锁","五金备件/锁具","规格/管理位数: 18位","个","待确认","是挂锁还是18位锁盘配套？"
"1073","1074","大冰块","冰块","行政后勤/临时消耗品","规格: 大号","个","可合并/待确认","与50kg冰块是否同物料需确认"
"1074","1075","马路切割机维修","马路切割机维修服务","服务费用/维修服务","服务: 维修马路切割机","次","待确认","服务内容/更换件缺失"
"1075","1076","玻璃胶","玻璃胶","化工耗材/胶粘剂","类型: 玻璃胶","支","可合并/待确认","与第536行同类，颜色/酸性中性缺失"
"1078","1079","60加气砖","加气混凝土砌块","建筑材料/砌块砖","规格: 60","块","待确认","完整尺寸/强度等级缺失"
"1079","1080","白磨砂贴膜90","磨砂贴膜","装饰/贴膜材料","颜色: 白色；类型: 磨砂；规格: 90","米","待确认","宽度单位/材质缺失"
"1082","1083","浅灰色碳泥","碳泥","化工耗材/修补材料","颜色: 浅灰色；类型: 碳泥","KG","待确认","材料用途/品牌/配套固化剂缺失"
"1083","1084","固化剂","固化剂","化工耗材/涂料辅料","类型: 固化剂","KG","待确认","配套材料/体系缺失，不能泛化合并"
"1084","1085","线管","线管","电气材料/电缆附件","类型: 线管","米","待确认","规格/材质缺失"
"1085","1086","弯头","弯头","工程材料/管件","类型: 弯头","个","待确认","裸名不能建档，规格/材质/角度缺失"
"1087","1088","施耐德4p250\\4300漏保","漏电断路器","电气材料/低压电器","品牌: 施耐德；极数: 4P；规格: 250/4300","个","待确认","型号写法需确认，漏电参数缺失"
"1093","1094","加厚气泡膜100米","气泡膜","包装材料/缓冲包装","特征: 加厚；长度: 100米","个","可合并/待确认","与第512行同类，宽度/单位需确认"
"1103","1104","好地坪面漆","地坪漆面漆","化工耗材/涂料","品牌/系列: 好地坪；类型: 面漆","桶","可合并/待确认","与第691行同体系，颜色/包装缺失"
"1104","1105","固化剂面漆","地坪漆面漆固化剂","化工耗材/涂料辅料","用途: 面漆固化剂","kg","可合并/待确认","与第692行同类，配比/品牌缺失"
"1111","1112","3m电胶布","电工胶布","电气材料/电工耗材","品牌/长度: 3m；类型: 电胶布","卷","待确认","3m 是品牌3M还是长度3米需确认"
"1113","1114","公元40pvl给水弯头","PVC给水弯头","工程材料/PVC管件","品牌: 公元；规格: 40；类型: 弯头","个","待确认","`pvl` 是否为 PVC 误写；角度缺失"
"1114","1115","公元直通","直通","工程材料/PVC管件","品牌: 公元；类型: 直通","个","待确认","规格/材质缺失"
"1115","1116","弯头带检查口","检查口弯头","工程材料/PVC管件","类型: 弯头；特征: 带检查口","个","待确认","规格/材质/角度缺失"
"1120","1121","胶水","胶水","化工耗材/胶粘剂","类型: 胶水","瓶","待确认","裸名，品牌/型号/用途缺失"
"1125","1126","定做玻璃窗","玻璃窗","定制件/门窗制品","定制: 是；类型: 玻璃窗","个","可合并/待确认","与第1197行同类，尺寸/材质缺失"
"1126","1127","50×40补心","补心","工程材料/管件","规格: 50*40；类型: 补心/异径","个","待确认","材质/连接形式缺失"
"1127","1128","50检查口弯头","检查口弯头","工程材料/PVC管件","规格: 50；特征: 带检查口","个","待确认","材质/角度缺失"
"1128","1129","厚床垫","床垫","行政后勤/生活用品","特征: 厚","张","可合并/待确认","与第739行同类，尺寸缺失"
"1129","1130","生活用品十件","生活用品套装","行政后勤/生活用品","套装数量: 十件","套","待确认","套装明细缺失"
"1130","1131","定做窗帘","窗帘","定制件/装饰用品","定制: 是；类型: 窗帘","平方","可合并/待确认","与第1043行同类，尺寸/材质缺失"
"1132","1133","吊灯头","吊灯头","电气材料/照明","类型: 吊灯头","个","可合并/待确认","与第683行同类，灯口规格缺失"
"1133","1134","4×9木方","木方","建筑材料/模板木方","规格: 4*9","米","可建档/待确认","规格单位/材质缺失"
"1137","1138","起帆2.5平方电线","电线","电气材料/电线电缆","品牌: 起帆；截面积: 2.5平方","米","可合并/待确认","与BV2.5是否同物料需确认"
"1138","1139","明装底合","明装底盒","电气材料/插头插座","安装: 明装；类型: 底盒","个","待确认","“底合”应为底盒；规格缺失"
"1139","1140","墙纸（优质强纸）","墙纸","装饰/墙面材料","品质: 优质；原名: 强纸","米","待确认","材质/宽度/“强纸”含义需确认"
"1141","1142","创可贴","创可贴","劳保耗材/急救用品","类型: 创可贴","盒","可合并/待确认","与第1193行单位盒/张需统一"
"1144","1145","三和喷漆","自喷漆","化工耗材/涂料","品牌: 三和；类型: 自喷漆","支","待确认","颜色/容量缺失"
"1145","1146","公元110胶管","胶管","工程材料/软管","品牌: 公元；规格: 110","米","待确认","材质/用途/压力等级缺失"
"1148","1149","胶水","胶水","化工耗材/胶粘剂","类型: 胶水","个","待确认","单位/型号/用途缺失"
"1154","1155","2.44×1.22×3cm合板","合板","建筑材料/板材","尺寸: 2.44*1.22；厚度: 3cm","平方","待确认","单位按平方还是张需统一"
"1155","1156","起帆2.5㎡电线","电线","电气材料/电线电缆","品牌: 起帆；截面积: 2.5平方","米","可合并/待确认","`㎡`应为平方毫米写法，线型/颜色缺失"
"1156","1157","起帆4㎡电线","电线","电气材料/电线电缆","品牌: 起帆；截面积: 4平方","米","可合并/待确认","`㎡`应规范为平方毫米，线型/颜色缺失"
"1157","1158","起帆6㎡电线","电线","电气材料/电线电缆","品牌: 起帆；截面积: 6平方","米","可合并/待确认","`㎡`应规范为平方毫米，线型/颜色缺失"
"1172","1173","4kg灭火器","灭火器","消防器材/灭火器","容量: 4kg","套","可合并/待确认","与第996行同类，单位支/套需统一，类型缺失"
"1173","1174","重灭火器箱子","灭火器箱","消防器材/消防箱","特征: 重型；用途: 灭火器","个","待确认","“重”含义/尺寸缺失"
"1174","1175","加工钢板","钢板加工件","定制件/金属加工件","加工: 是；类型: 钢板","块","待确认","尺寸/材质/图纸缺失"
"1183","1184","1.2药性焊丝","药芯焊丝","焊接耗材/焊材","直径: 1.2；原名: 药性焊丝","件","待确认","是否为药芯焊丝错字？牌号缺失"
