batch,issue_id,source_name,identify,spec_normalization,standard_name_normalization,group_normalization,release_grade,judgement,next_action
002,ISSUE-00134,量杯,量杯,2000ml->2L；5L保留,量杯,试验检测用品/量具容器/量杯,B,容量明确，可按容量拆SKU；材质可后补,按容量拆SKU，补材质
002,ISSUE-00135,砂纸,砂纸,240#->P240；80#->P80；细为非标准粒度,砂纸,工具治具/打磨耗材/砂纸,C,存在“细”这种非数字粒度，不能和P240/P80直接合并,保留P240/P80，追问“细”对应粒度
002,ISSUE-00136,不锈钢钻头,不锈钢用钻头,3.2mm、4mm、6mm按直径归一；不锈钢理解为用途/适用材质,不锈钢用钻头,工具治具/钻孔耗材/钻头,B,直径和用途明确，可拆SKU；柄型/材质可后补,按直径拆SKU，补钻头材质和柄型
002,ISSUE-00137,二坑二槽钻头,二坑二槽冲击钻头,Φ10*160、Φ14*160、Φ16*200归一；博世为品牌,二坑二槽冲击钻头,工具治具/钻孔耗材/冲击钻头,B,柄型、直径、长度明确，可拆SKU,按柄型+直径+长度拆SKU
002,ISSUE-00138,方柄钻头,方柄冲击钻头,Φ14*280、Φ12*260归一；博世为品牌,方柄冲击钻头,工具治具/钻孔耗材/冲击钻头,B,柄型、直径、长度明确，可拆SKU,按柄型+直径+长度拆SKU
002,ISSUE-00139,钨钢钻头,钨钢钻头,3.0、3.5归一为直径mm；钨钢为材质,钨钢钻头,工具治具/钻孔耗材/钻头,B,材质和直径明确，可拆SKU,按材质+直径拆SKU，补柄型
002,ISSUE-00140,钻头,钻头泛称,直径*长度、M规格、二坑二槽/二坑三槽/五坑三槽混杂,钻头待定,工具治具/钻孔耗材/钻头待定,D,钻头泛称下混入不同柄型和不同用途，不能作为一个规则合并,先按柄型和用途拆分为冲击钻头/麻花钻/五坑钻头等子类
002,ISSUE-00141,五坑钻头,五坑冲击钻头,40*1200、35*500、28*800、14*400、14*600、16*280归一为直径*长度,五坑冲击钻头,工具治具/钻孔耗材/冲击钻头,B,柄型、直径、长度明确，可拆SKU；品牌可选,按五坑+直径+长度拆SKU
002,ISSUE-00142,冲击钻头,冲击钻头,6厘->6mm但缺长度；20厘->20mm但缺长度；18*800等完整,冲击钻头,工具治具/钻孔耗材/冲击钻头,C,部分规格只有直径没有长度，冲击钻头长度影响SKU,完整规格可拆SKU，6mm/20mm项补长度和柄型
002,ISSUE-00143,冲击钻头,冲击钻头,6厘->6mm；20厘->20mm；18*400、18*800、30*400保留,冲击钻头,工具治具/钻孔耗材/冲击钻头,C,低精度来自缺长度/柄型，不能直接全量放行,补缺失长度和柄型后拆SKU
002,ISSUE-00144,合金钻头,合金钻头,Φ6、Φ8、Φ10、Φ12、Φ14、Φ16按直径归一,合金钻头,工具治具/钻孔耗材/钻头,B,材质和直径明确，可按直径拆SKU,按直径拆SKU，补柄型和用途
002,ISSUE-00145,钨钢钻头,钨钢钻头,Φ8、Φ10、Φ12、Φ16按直径归一,钨钢钻头,工具治具/钻孔耗材/钻头,B,材质和直径明确，可拆SKU,按材质+直径拆SKU
002,ISSUE-00146,钻头,钻头泛称,16*100、4.0、5.0、5.5混杂；裸直径缺用途/柄型,钻头待定,工具治具/钻孔耗材/钻头待定,D,只有“钻头”不足以区分麻花钻、冲击钻、木工钻等,追问钻头类型、柄型、用途和长度
002,ISSUE-00147,铁锹柄,铁锹柄,支/个统一为根；适用铁锹和柄为同义补充,铁锹柄,工具治具/土建工具/铁锹配件,B,物料族明确，低值配件可先按通用柄管理,统一单位根，补长度和材质
002,ISSUE-00148,铁锹柄,铁锹柄,个/支统一为根,铁锹柄,工具治具/土建工具/铁锹配件,B,只是单位冲突，但仍建议补长度/材质后再升A,统一单位根，补木柄/玻纤柄
002,ISSUE-00149,铁锹柄,铁锹柄,适用铁锹、部件柄合并为同一语义,铁锹柄,工具治具/土建工具/铁锹配件,B,低精度但对象明确,统一名称，补长度和材质
002,ISSUE-00150,梅花开口两用扳手,两用扳手,13、14归一为开口规格mm；梅花开口=两用,两用扳手,工具治具/手动工具/扳手,B,规格明确，可按尺寸拆SKU；品牌可选,按规格拆SKU，标准名用两用扳手
002,ISSUE-00151,一字螺丝刀,一字螺丝刀,6*250为杆径*长度；通用一字项缺规格,一字螺丝刀,工具治具/手动工具/螺丝刀,C,存在无规格项，不能与6*250直接合并,完整规格可建候选，无规格项补杆径和长度
002,ISSUE-00152,三叉套筒扳手,三叉套筒扳手,14-17-19、13-16-18、10-12-14按三端规格保留,三叉套筒扳手,工具治具/手动工具/套筒扳手,B,三端尺寸明确，可拆SKU,按三端规格拆SKU
002,ISSUE-00153,内六角扳手套装,内六角扳手套装,1.5-10为规格范围；世达为品牌,内六角扳手套装,工具治具/手动工具/内六角扳手,B,套装范围和品牌基本明确；件数可后补,按品牌+规格范围建候选，补件数
002,ISSUE-00154,十字螺丝刀,十字螺丝刀,6*250为规格；世达为品牌；通用十字项缺规格,十字螺丝刀,工具治具/手动工具/螺丝刀,C,存在无杆径/长度项，不能与6*250直接合并,完整规格可候选，无规格项补杆径和长度
002,ISSUE-00155,尖嘴钳,尖嘴钳,6寸保留；世达/得力为品牌；无规格项缺尺寸,尖嘴钳,工具治具/手动工具/钳类,C,钳类尺寸影响SKU，部分记录只有品牌无尺寸,补尺寸后按品牌/尺寸拆SKU
002,ISSUE-00156,手锤,手锤,6磅、8磅按重量归一,手锤,工具治具/手动工具/锤类,B,重量明确，可按重量拆SKU,按重量拆SKU，补锤柄材质
002,ISSUE-00157,撬棍,撬棍,1.3m、60cm保留；规格30疑似直径或型号,撬棍,工具治具/手动工具/撬棍,C,一项有规格30但含义不清，撬棍还需长度/直径统一,补规格30的含义，按长度+直径拆SKU
002,ISSUE-00158,水泵钳,水泵钳,8寸、10寸按长度规格归一,水泵钳,工具治具/手动工具/钳类,B,规格明确，可拆SKU,按寸规格拆SKU
002,ISSUE-00159,活动扳手,活动扳手,450mm约18寸；12寸、10寸保留；世达为品牌,活动扳手,工具治具/手动工具/扳手,B,长度规格明确，可拆SKU；品牌可选,统一为寸/毫米双写，按规格拆SKU
002,ISSUE-00160,管钳,管钳,300mm约12寸；350mm约14寸；400mm约16寸；600mm=24寸；18寸保留,管钳,工具治具/管工工具/管钳,B,长度/寸规格可归一，单位可统一；防锈型是特征,按规格拆SKU，防锈型单独作为属性
002,ISSUE-00161,老虎钳,老虎钳,世达/得力为品牌；多数缺尺寸,老虎钳,工具治具/手动工具/钳类,C,老虎钳需要尺寸，只有品牌无法唯一建档,补6寸/8寸等尺寸，品牌可选
002,ISSUE-00162,重型梅花敲击扳手,重型梅花敲击扳手,36、46、55归一为对边规格mm,重型梅花敲击扳手,工具治具/手动工具/敲击扳手,B,类型和规格明确，可拆SKU,按规格拆SKU
002,ISSUE-00163,美工刀,美工刀,个统一为把；黑色和得力为属性,美工刀,工具治具/手动工具/刀具,B,低值通用工具，颜色/品牌不阻塞治理,统一单位把，补刀片宽度
002,ISSUE-00164,美工刀片,美工刀片,合应修正为盒；得力为品牌,美工刀片,工具治具/手动工具/刀片,C,刀片需要宽度、长度或每盒片数；单位存在错字,修正单位为盒，补刀片规格和包装数量
002,ISSUE-00165,铣刀钻头,铣刀钻头,4mm、10mm按直径归一；不锈钢为用途/适用材质,铣刀钻头,工具治具/加工刀具/铣刀钻头,C,加工刀具仅有直径不够，缺柄径、刃数、总长和材质牌号,补柄径、刃数、刃长/总长后建档
002,ISSUE-00166,气动扳手,气动扳手,1寸为方头规格；大号为非标准描述,气动扳手,工具治具/气动工具/气动扳手,C,气动扳手需要方头、扭矩和型号；大号不能直接建档,补型号、方头尺寸、扭矩范围
002,ISSUE-00167,毛刷,毛刷,2寸、3寸、4寸按宽度规格归一,毛刷,工具治具/涂装工具/刷类,B,尺寸明确，低值耗材可按尺寸拆SKU,按尺寸拆SKU，单位统一支
002,ISSUE-00168,毛刷,毛刷,支/个统一为支；规格3寸明确,毛刷,工具治具/涂装工具/刷类,A,只是单位同义，规格明确，不构成治理阻塞,统一库存单位支
002,ISSUE-00169,毛刷,毛刷,2寸、3寸、4寸归一为宽度规格,毛刷,工具治具/涂装工具/刷类,B,低精度可由尺寸规则治理,按尺寸拆SKU，单位支
002,ISSUE-00170,油漆滚筒,油漆滚筒刷,大号、中号、小号是粗规格；包/个/只混用,油漆滚筒刷,工具治具/涂装工具/滚筒刷,C,大小号不够标准，且存在包装单位和单支单位混用,补宽度mm/寸、毛高和每包数量
002,ISSUE-00171,油漆滚筒,油漆滚筒刷,大/中/小保留但需映射为实际宽度,油漆滚筒刷,工具治具/涂装工具/滚筒刷,C,低精度来自大小号和包装不清,补实际宽度和包装数量
002,ISSUE-00172,滚筒刷,滚筒刷,4寸、8寸保留；150、250需确认是mm宽度；滚桶刷为别名,滚筒刷,工具治具/涂装工具/滚筒刷,C,规格口径混用，150/250缺单位且可能对应宽度mm,确认150/250单位，统一为宽度mm或寸
002,ISSUE-00173,滚筒刷,滚筒刷,个/支统一为支；规格4寸明确,滚筒刷,工具治具/涂装工具/滚筒刷,A,只是单位同义，规格明确,统一库存单位支
002,ISSUE-00174,滚筒刷,滚筒刷,4寸、8寸、150、250归一待确认；滚桶刷为别名,滚筒刷,工具治具/涂装工具/滚筒刷,C,低精度来自规格单位混用,补150/250的单位并按宽度拆SKU
002,ISSUE-00175,羊毛刷,羊毛刷,2寸、2.5寸、3寸、4寸按宽度归一；羊毛为材质,羊毛刷,工具治具/涂装工具/刷类,B,材质和尺寸基本明确；有一项4寸未写羊毛但标准名已包含,按尺寸拆SKU，单位统一支
002,ISSUE-00176,羊毛刷,羊毛刷,个/支统一为支；4寸明确,羊毛刷,工具治具/涂装工具/刷类,A,只是单位同义，规格明确,统一库存单位支
002,ISSUE-00177,羊毛刷,羊毛刷,个/支/只/把统一为支；4寸羊毛明确,羊毛刷,工具治具/涂装工具/刷类,A,只是单位同义，材质和规格明确,统一库存单位支
002,ISSUE-00178,羊毛刷,羊毛刷,支/把统一为支；2寸羊毛明确,羊毛刷,工具治具/涂装工具/刷类,A,只是单位同义，规格明确,统一库存单位支
002,ISSUE-00179,羊毛刷,羊毛刷,2寸、2.5寸、3寸、4寸按宽度归一,羊毛刷,工具治具/涂装工具/刷类,B,低精度可由材质和尺寸规则治理,按尺寸拆SKU，单位支
002,ISSUE-00180,钢刷,钢丝刷,只/把统一为把；钢刷=钢丝刷,钢丝刷,工具治具/打磨清理工具/钢丝刷,A,只是单位同义且物料语义明确,统一标准名钢丝刷，单位把
002,ISSUE-00181,碳刷,碳刷,900#、43#作为型号保留,碳刷,电动工具配件/电机耗材/碳刷,C,碳刷通常需适配设备型号和尺寸，编号不足以保证唯一,补适配设备、长宽高或厂家型号
002,ISSUE-00182,锂电池电钻,锂电池电钻,21V为电压；大艺为品牌；仅动力项缺型号,锂电池电钻,工具治具/电动工具/电钻,C,电动工具需要品牌、型号、电压和电池容量；存在无规格项,补型号、电压、电池容量和套装配置
002,ISSUE-00183,锂电池电钻,锂电池电钻,锂电池为动力类型；21V保留,锂电池电钻,工具治具/电动工具/电钻,C,低精度，缺型号和电池配置,补品牌型号、电压、电池容量
002,ISSUE-00184,卷尺,卷尺,3米=3m；5米=5m；10米=10m；得力为品牌,卷尺,工具治具/测量工具/卷尺,B,长度明确，可拆SKU；个/把可统一,按品牌+长度拆SKU，单位把
002,ISSUE-00185,卷尺,卷尺,3m、5m、10m写法统一；得力为品牌,卷尺,工具治具/测量工具/卷尺,B,低精度来自单位写法和长度重复,合并同长度项，按长度拆SKU
002,ISSUE-00186,水平尺,水平尺,60cm=0.6m；100cm=1m,水平尺,工具治具/测量工具/水平尺,B,长度明确，单位可归一,按长度拆SKU，统一单位把
002,ISSUE-00187,水平尺,水平尺,0.6m/60cm、1m/100cm合并,水平尺,工具治具/测量工具/水平尺,B,低精度可由长度换算规则治理,按0.6m和1m两个规格拆SKU
002,ISSUE-00188,游标卡尺,游标卡尺,个/支统一为把；300mm高精度重复写法合并,游标卡尺,工具治具/测量工具/卡尺,A,规格、品牌、量程和精度明确，只是字段写法/单位差异,合并为得力300mm高精度游标卡尺
002,ISSUE-00189,金属测绳,金属测绳,材质金属保留；类型测绳为同义补充,金属测绳,工具治具/测量工具/测绳,C,缺长度、刻度范围和结构，无法唯一建档,补长度、刻度规格和材质细分
002,ISSUE-00190,钢卷尺,钢卷尺,100m、3m、5m、7.5m、10m按长度归一；雄狮/得力为品牌,钢卷尺,工具治具/测量工具/钢卷尺,B,品牌和长度明确，可拆SKU；100m长尺与普通卷尺分开,按品牌+长度拆SKU，单位把
002,ISSUE-00191,阻燃挤塑板,阻燃挤塑板,2.2m*0.6m*0.1m和2.2m*0.6m*0.05m按长宽厚归一；数量描述不入SKU,阻燃挤塑板,建筑材料/保温材料/挤塑板,C,厚度明确但缺燃烧等级、容重/强度等级；采购数量不是规格,按长宽厚建候选，补阻燃等级和容重
002,ISSUE-00192,止水针头,注浆止水针头,10cm->100mm；15cm->150mm,注浆止水针头,防水堵漏材料/注浆配件/止水针头,C,止水针头还需要直径或螺纹规格，仅长度不够,补直径、螺纹或适配注浆机规格
002,ISSUE-00193,注浆枪头,注浆枪头,类型和用途同义合并,注浆枪头,防水堵漏材料/注浆配件/注浆枪头,C,缺接口规格、材质和适配设备,补接口尺寸、材质、适配枪型号
002,ISSUE-00194,注浆止水针头,注浆止水针头,150mm=15cm；100mm=10cm；高压注浆止水为用途,注浆止水针头,防水堵漏材料/注浆配件/止水针头,C,长度明确但缺直径，注浆针头不能只按长度建档,补直径/螺纹规格后按长度+直径拆SKU
002,ISSUE-00195,PVC直通,PVC直通,DN75归一；公元为品牌；PVC可由标准名补齐,PVC直通,管材管件/PVC管件/直通,B,品牌和规格基本明确，材质可由标准名确定,按品牌+DN75建候选，补压力等级
002,ISSUE-00196,PVC直通,PVC直通,规格75->DN75；材质PVC补齐,PVC直通,管材管件/PVC管件/直通,B,低精度可通过PVC直通规则治理,统一为PVC直通DN75，补压力等级
002,ISSUE-00197,异径三通,异径三通,40*32、40*25按主管*支管规格归一；公元为品牌,异径三通,管材管件/管件/异径三通,C,标准名缺材质，异径三通必须区分PVC/PPR/镀锌/钢制及压力等级,补材质和压力等级，再按规格拆SKU
002,ISSUE-00198,彩条布,彩条布,4m*30m完整；宽度4米缺长度；㎡为面积单位,彩条布,辅料耗材/防护覆盖/彩条布,C,彩条布应明确长宽、克重/厚度；存在只有宽度或泛称项,补长度、克重或厚度，按卷/张规格治理
002,ISSUE-00199,三通,三通泛称,75、50只能视为口径；公元为品牌,三通待定,管材管件/管件/三通待定,D,三通泛称缺材质、连接方式和管制标准，不能唯一建档,追问PVC/PPR/钢制等材质、压力等级、连接方式
002,ISSUE-00200,弯头,弯头泛称,75、50只能视为口径；公元为品牌,弯头待定,管材管件/管件/弯头待定,D,弯头泛称缺材质、角度、连接方式和压力等级,追问材质、角度90/45、连接方式和压力等级
