编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00597	缠绕膜	颜色: 透明；宽度: 50cm；重量: 5KG	包装材料/缠绕膜	个	透明缠绕膜50cm*5KG	材质/芯径缺失
REVIEW-MAT-00598	纸箱	规格: 70*50	包装材料/纸箱	个	70*50纸箱	高度/层数缺失
REVIEW-MAT-00599	胶带切割器	适用: 透明胶带	包装材料/包装工具	个	透明胶带切割器	适配宽度缺失
REVIEW-MAT-00600	钢筋加工件	加工: 是；钢筋规格: 12；长度: 1.6米	定制件/钢筋加工件	个	加工12钢筋1.6米	状态：可建档-定制件；材质/图纸/弯折要求缺失
REVIEW-MAT-00601	钢筋加工件	加工: 是；钢筋规格: 12；长度: 11.93米	定制件/钢筋加工件	个	加工12钢筋11.93米	状态：可建档-定制件；材质/图纸/弯折要求缺失
REVIEW-MAT-00602	钢筋加工件	加工: 是；钢筋规格: 12；长度: 12.94米	定制件/钢筋加工件	个	加工12钢筋12.94米	状态：可建档-定制件；材质/图纸/弯折要求缺失
REVIEW-MAT-00603	钢筋方形箍	加工: 是；钢筋规格: 12；形状: 方形箍	定制件/钢筋加工件	个	加工12钢筋方形箍	状态：可建档-定制件；尺寸/图纸缺失
REVIEW-MAT-00604	充电电钻	供电: 充电	工具器具/电动工具	台	充电电钻	电压/电池容量/品牌缺失
REVIEW-MAT-00605	厕所刷	用途: 厕所清洁	劳保耗材/清洁工具	把	厕所刷子	
REVIEW-MAT-00606	洁厕剂	类型: 洁厕灵	劳保耗材/清洁用品	支	洁厕灵	容量/品牌缺失
REVIEW-MAT-00607	拖把	类型: 拖把	劳保耗材/清洁工具	支	拖把	状态：可合并；与前文拖把同物料，单位个/支需统一
REVIEW-MAT-00608	锂电钻	特征: 大功率；供电: 锂电池	工具器具/电动工具	台	大功率锂电钻	电压/电池容量/品牌缺失
REVIEW-MAT-00609	铜鼻子	电流: 300A；材质: 铜	电气材料/电缆附件	个	300A铜鼻子	线径/孔径缺失
REVIEW-MAT-00610	铜鼻子	电流: 200A；材质: 铜	电气材料/电缆附件	个	200A铜鼻子	线径/孔径缺失
REVIEW-MAT-00611	PVC给水管	品牌: 公元；规格: 40；材质: PVC；用途: 给水	工程材料/PVC管件	米	公元40pvc给水管	压力等级缺失
REVIEW-MAT-00612	异径三通	品牌: 公元；规格: 40*32；类型: 三通	工程材料/PVC管件	个	公元三通40×32	材质默认PVC需确认
REVIEW-MAT-00613	异径三通	品牌: 公元；规格: 40*25；类型: 三通	工程材料/PVC管件	个	公元三通40×25	材质默认PVC需确认
REVIEW-MAT-00614	PVC管卡	品牌: 公元；材质: PVC；规格: 40	工程材料/管道紧固	个	公元pvc40管卡	
REVIEW-MAT-00615	PVC45度弯头	品牌: 公元；规格: 40；角度: 45度	工程材料/PVC管件	个	公元40×45°弯头	材质默认PVC需确认
REVIEW-MAT-00616	异径接头	品牌: 公元；规格: 40*32；类型: 大接头/异径	工程材料/PVC管件	个	公元40×32大接头	材质默认PVC需确认
REVIEW-MAT-00617	厚双面胶	类型: 双面胶；特征: 厚	化工耗材/胶粘带	卷	双面胶厚	宽度/长度缺失
REVIEW-MAT-00618	窗帘支架	用途: 窗帘	行政后勤/设施配件	套	窗帘支架	长度/安装方式缺失
REVIEW-MAT-00619	黑模板	厚度: 3.0；颜色: 黑	建筑材料/模板木方	张	黑模板3.0厚	长宽/单位缺失
REVIEW-MAT-00620	一位开关	品牌: 公牛；位数: 1位	电气材料/开关	套	公牛一位开关	电流/安装方式缺失
REVIEW-MAT-00621	五孔插座	品牌: 公牛；类型: 五孔	电气材料/插头插座	套	公牛五孔插座	状态：可合并；与第761行同物料，电流缺失
REVIEW-MAT-00622	手持打码机	类型: 手持；功能: 大字符打码	设备/标识设备	台	手持大字符打码机	型号/耗材类型缺失
REVIEW-MAT-00623	洗洁精	类型: 洗洁精	劳保耗材/清洁用品	支	洗洁精	容量/品牌缺失
REVIEW-MAT-00624	吊带	载荷: 5吨；长度: 6m	吊装索具/吊带	条	吊带5吨×6m	状态：可合并；与第679行同物料，单位付/条需统一
REVIEW-MAT-00625	直通	品牌: 公元；规格: 110；类型: 直通	工程材料/PVC管件	个	公元110直通	材质需确认
REVIEW-MAT-00626	管卡	品牌: 公元；规格: 110	工程材料/管道紧固	个	公元110管卡	材质缺失
REVIEW-MAT-00627	方形集水斗	品牌: 公元；规格: 110；形状: 方形	工程材料/排水管件	个	公元110方形集水斗	材质/安装方式缺失
REVIEW-MAT-00628	调和漆	颜色: 红色；类型: 调和漆	化工耗材/涂料	桶	红色调和油漆	包装/品牌缺失
REVIEW-MAT-00629	调和漆	颜色: 中黄；类型: 调和漆	化工耗材/涂料	桶	中黄调和油漆	包装/品牌缺失
REVIEW-MAT-00630	快速插头	电压: 220V；类型: 快速插头	电气材料/插头插座	个	220v快速插头	电流/极数/IP等级缺失
REVIEW-MAT-00631	快速插座	电压: 220V；类型: 快速插座	电气材料/插头插座	个	220v快速插座	电流/极数/IP等级缺失
REVIEW-MAT-00632	快速插头	电压: 380V；类型: 快速插头	电气材料/插头插座	个	380v快速插头	电流/极数/IP等级缺失
REVIEW-MAT-00633	快速插座	电压: 380V；类型: 快速插座	电气材料/插头插座	个	380v快速插座	电流/极数/IP等级缺失
REVIEW-MAT-00634	帆布手套	材质: 帆布；特征: 加厚、双层	劳保耗材/手套	双	加厚双层帆布手套	尺码缺失
REVIEW-MAT-00635	滚筒刷	规格: 8寸	工具器具/涂装工具	支	8寸滚筒	材质缺失
REVIEW-MAT-00636	滚筒刷	规格: 4寸	工具器具/涂装工具	支	4寸滚筒	材质缺失
REVIEW-MAT-00637	小滚筒刷	规格: 4寸；类型: 小滚筒	工具器具/涂装工具	支	4寸小滚筒	材质缺失
REVIEW-MAT-00638	自喷漆	品牌: 三和；颜色: 灰色；类型: 自喷漆	化工耗材/涂料	支	三和灰色喷漆	状态：可合并；与第496行同物料，容量缺失
REVIEW-MAT-00639	垃圾袋	规格: 大号	劳保耗材/清洁用品	个	大垃圾袋子	状态：可合并；与前文垃圾袋同类，尺寸/厚度缺失 | 与第1167行同物料，尺寸缺失
REVIEW-MAT-00640	二氧化碳减压表	适用气体: 二氧化碳；类型: 压力表/减压表	焊接耗材/气体配件	个	二氧化碳表	量程/接口缺失
REVIEW-MAT-00641	乙炔减压表	适用气体: 乙炔；类型: 压力表/减压表	焊接耗材/气体配件	个	乙炔表	状态：可建档 | 可合并；量程/接口缺失 | 与第1170行同物料，量程缺失
REVIEW-MAT-00642	氧气减压表	适用气体: 氧气；类型: 压力表/减压表	焊接耗材/气体配件	个	氧气表	量程/接口缺失
REVIEW-MAT-00643	螺丝	规格: M30*100	五金备件/紧固件	个	M30*100螺丝	材质/强度等级缺失
REVIEW-MAT-00644	螺母	规格: M30	五金备件/紧固件	个	M30螺母	材质/强度等级缺失
REVIEW-MAT-00645	平垫片	规格: M30	五金备件/紧固件	个	M30平垫	材质缺失
REVIEW-MAT-00646	弹簧垫片	规格: M30	五金备件/紧固件	个	M30弹垫	材质缺失
REVIEW-MAT-00647	螺丝	规格: M27*120	五金备件/紧固件	个	M27*120螺丝	材质/强度等级缺失
REVIEW-MAT-00648	螺母	规格: M27	五金备件/紧固件	个	M27螺母	状态：可合并；与第37行/前文M27螺母同类
REVIEW-MAT-00649	平垫片	规格: M27	五金备件/紧固件	个	M27平垫	状态：可合并；与第77行/前文M27垫片同类
REVIEW-MAT-00650	弹簧垫片	规格: M27	五金备件/紧固件	个	M27弹垫	材质缺失
REVIEW-MAT-00651	螺丝	规格: 12*40	五金备件/紧固件	套	12*40螺丝	状态：可建档 | 可合并；是否M12/材质缺失 | 与第1188行同物料，是否M12需确认 | 与第1362行同物料
REVIEW-MAT-00652	无缝管	规格: 68*6	原材料/钢管	米	68*6无缝管	材质/标准缺失
REVIEW-MAT-00653	纱布	包装: 大包	劳保耗材/急救用品	包	纱布大包	尺寸/卷数缺失
REVIEW-MAT-00654	雨衣	特征: 加厚	劳保耗材/雨具	套	加厚雨衣	材质/尺码缺失
REVIEW-MAT-00655	电池	规格: 7号	电气材料/电池	个	7号电池	品牌/类型缺失
REVIEW-MAT-00656	漏电断路器	品牌: 施耐德；极数: 2P；电流: 63A	电气材料/低压电器	个	施耐德2P63A漏保 | 施耐德2P63a漏电保护开关	状态：可建档 | 可合并；型号/漏电动作电流缺失 | 与第1195行同物料，型号缺失 | 与第1224行同物料，型号缺失
REVIEW-MAT-00657	钢丝绳铝扣	材质: 铝；用途: 钢丝绳扣压	吊装索具/钢丝绳配件	个	钢丝绳铝扣	适配钢丝绳直径缺失
REVIEW-MAT-00658	角钢	规格: 40*40*5；标准: 国标	原材料/型钢	米	40*40*5国标角铁	状态：可建档 | 可合并；材质牌号缺失 | 与第1201行同物料，材质牌号缺失
REVIEW-MAT-00659	花纹钢板	厚度: 3.0；类型: 花纹钢板	原材料/钢板	平方	3.0花纹钢板	状态：可合并；与第573行同类，材质缺失
REVIEW-MAT-00660	电线	品牌: 起帆；截面积: 1.5平方	电气材料/电线电缆	米	起帆1.5平方电线	线型/颜色缺失
REVIEW-MAT-00661	除甲醛机	用途: 办公室；功能: 除甲醛	行政后勤/办公设备	个	办公室除甲醛机	型号/适用面积缺失
REVIEW-MAT-00662	焊接异径接头	规格: 159*89；连接: 焊接；类型: 大小头	工程材料/管件	个	焊接159*89大小头	材质/壁厚缺失
REVIEW-MAT-00663	钢管抱箍	加工: 是；规格: 159；适用: 钢管	定制件/管路接头	个	159加工钢管抱箍	状态：可建档-定制件；图纸/材质/厚度缺失
REVIEW-MAT-00664	钢管抱箍	加工: 是；规格: 89；适用: 钢管	定制件/管路接头	个	加工89钢管抱箍	状态：可建档-定制件；图纸/材质/厚度缺失
REVIEW-MAT-00665	带牙钢管加工件	加工: 是；规格: 89；工序: 带牙	定制件/管路接头	个	加工89钢管带牙	状态：可建档-定制件；牙型/长度/图纸缺失
REVIEW-MAT-00666	不锈钢球阀	品牌: 埃美柯；规格: 80；材质: 不锈钢；特征: 加厚	工程材料/阀门	个	埃美柯80加厚不锈钢球阀	压力等级/连接形式缺失
REVIEW-MAT-00667	电焊帽	品质: 好；用途: 电焊	劳保耗材/眼面防护	个	好电焊帽	状态：可建档-低精度；防护等级/型号缺失
REVIEW-MAT-00668	铝合金窗	定制: 是；材质: 铝合金	定制件/门窗制品	套	定做铝合金窗	状态：可建档-定制件；尺寸/玻璃规格缺失
REVIEW-MAT-00669	不锈钢窗护栏	材质: 不锈钢；用途: 窗护栏	定制件/门窗制品	套	不锈钢窗护栏	状态：可建档-定制件；尺寸/图纸缺失
REVIEW-MAT-00670	铜接线端子	截面积: 4平方；材质: 铜	电气材料/接线端子	个	4平方铜接线端子	端子形式缺失
REVIEW-MAT-00671	铜接线端子	截面积: 6平方；材质: 铜	电气材料/接线端子	个	6平方铜接线端子	端子形式缺失
REVIEW-MAT-00672	端子压线钳	适用: 接线端子；类型: 压钳	工具器具/电工工具	个	接线端子压钳	压接范围缺失
REVIEW-MAT-00673	单向阀	品牌: 埃美柯；规格: 80；类型: 单向阀	工程材料/阀门	个	埃美柯80单向阀	材质/压力等级/连接形式缺失
REVIEW-MAT-00674	带牙钢管加工件	加工: 是；规格: 80；工序: 带牙	定制件/管路接头	个	加工80钢管带牙	状态：可建档-定制件；牙型/长度/图纸缺失
REVIEW-MAT-00675	槽钢	规格: 10#；特征: 厚	原材料/型钢	米	10#厚槽钢	材质牌号缺失
REVIEW-MAT-00676	橡胶板	厚度: 2cm	原材料/橡胶材料	kg	2cm橡胶板	材质/宽度缺失
REVIEW-MAT-00677	屏蔽信号电缆	规格: 3*1.5；类型: 信号屏蔽	电气材料/电线电缆	米	3*1.5信号屏蔽电缆线	屏蔽形式/品牌缺失
REVIEW-MAT-00678	吊带	载荷: 20T；长度: 6米；原名含“好”	吊装索具/吊带	条	20T*6米吊带好	“好”是否等级描述？执行标准缺失
REVIEW-MAT-00679	管片强力胶	用途: 管片；类型: 强力胶	化工耗材/胶粘剂	桶	管片强力胶水	品牌/包装/固化体系缺失
REVIEW-MAT-00680	焊接弯头	规格: 89；连接: 焊接	工程材料/管件	个	89焊接弯头	材质/角度/壁厚缺失
REVIEW-MAT-00681	焊接弯头	规格: 168；连接: 焊接	工程材料/管件	个	168焊接弯头	材质/角度/壁厚缺失
REVIEW-MAT-00682	双快水泥	类型: 双快	建筑材料/水泥砂石	包	双快水泥	状态：可合并；与第462行同物料，包装重量缺失
REVIEW-MAT-00683	雨棚	尺寸: 4*4米；特征: 加厚	定制件/遮雨棚	个	加厚4*4米雨棚	状态：可建档-定制件；材质/结构缺失
REVIEW-MAT-00684	镀锌铁皮	厚度: 1.2；表面: 镀锌	原材料/板材	米	1.2镀锌铁皮	宽度/材质缺失
REVIEW-MAT-00685	防火棉	特性: 阻燃；类型: 防火棉	建筑材料/保温防火材料	平方	阻燃防火棉	厚度/防火等级缺失
REVIEW-MAT-00686	玛氏漏斗粘度计	材质: 不锈钢；类型: 玛氏漏斗粘度计	工具器具/检测仪器	个	不锈钢玛氏漏斗粘度计	量程/标准缺失
REVIEW-MAT-00687	透明胶带	宽度: 5mm；长度: 100米；颜色: 透明	包装材料/胶带	卷	5mm透明胶带100米	
REVIEW-MAT-00688	方头铁锹	规格: 大号；类型: 方头	工具器具/手动工具	套	大方铁锹	是否含柄需确认
REVIEW-MAT-00689	方头铁锹	规格: 小号；类型: 方头	工具器具/手动工具	套	小方铁锹	是否含柄需确认
REVIEW-MAT-00690	铁锹柄	适用: 铁锹	工具器具/工具配件	支	铁锹柄	状态：可合并；与第50行同物料
REVIEW-MAT-00691	电镐	规格: 15寸；特征: 专业长款	工具器具/电动工具	套	15寸专业长款电镐	功率/品牌缺失
REVIEW-MAT-00692	橡胶防爆水带	规格: 100；材质: 橡胶；特征: 防爆	消防器材/水带	米	100橡胶防爆水带	压力等级缺失
REVIEW-MAT-00693	高筒雨鞋	品牌: 回力；筒高: 高筒	劳保耗材/足部防护	双	回力雨鞋高筒	状态：可建档 | 可合并；尺码缺失 | 与第1266行同物料，尺码缺失
REVIEW-MAT-00694	不锈钢钢丝绳	材质: 不锈钢	吊装索具/钢丝绳	米	不锈钢钢丝绳	直径/结构缺失
REVIEW-MAT-00695	镀锌钢管	定制: 是；规格: 48；表面: 镀锌	定制件/钢管加工件	条	定做48镀锌钢管	状态：可建档-定制件；长度/壁厚/加工要求缺失
REVIEW-MAT-00696	卡环	规格: 10厘	吊装索具/连接件	个	10厘卡环	材质/载荷缺失
REVIEW-MAT-00697	铜球阀	品牌: 埃美柯；规格: 4分；材质: 铜	工程材料/阀门	个	埃美柯4分铜球阀	压力等级/连接形式缺失
REVIEW-MAT-00698	外接头	规格: 4分；类型: 外接头	工程材料/管件	个	4分外接头	材质/螺纹缺失
REVIEW-MAT-00699	不锈钢水龙头	材质: 不锈钢；类型: 水龙头	工程材料/水暖五金	个	不锈钢水龙头	规格/安装方式缺失
REVIEW-MAT-00700	冷热水阀	功能: 冷热水；类型: 水阀	工程材料/水暖五金	个	冷热水阀	规格/材质缺失
REVIEW-MAT-00701	撬杠	规格: 60	工具器具/手动工具	个	60撬杠	单位cm？材质缺失
REVIEW-MAT-00702	撬杠	规格: 120	工具器具/手动工具	个	120撬杠	单位cm？材质缺失
REVIEW-MAT-00703	电缆线	规格: 3*25	电气材料/电线电缆	米	3*25电缆线	品牌/型号缺失
REVIEW-MAT-00704	插座	电流: 16A	电气材料/插头插座	个	16A插座	孔位/安装方式缺失
REVIEW-MAT-00705	明装底盒	安装: 明装；类型: 底盒	电气材料/插头插座	个	明装底盒	状态：可合并；与第1138行同物料，规格缺失
REVIEW-MAT-00706	RJ45水晶头	类型: RJ45水晶头	电气材料/弱电材料	个	水晶头	类别/Cat等级缺失
REVIEW-MAT-00707	电缆线	品牌: 起帆；规格: 3*6+1	电气材料/电线电缆	米	起帆3*6+1电缆	型号/材质缺失
REVIEW-MAT-00708	网线钳	用途: 网线压接	工具器具/电工工具	把	网线钳	适配水晶头类型缺失
REVIEW-MAT-00709	PVC线管	规格: 25；材质: PVC	电气材料/电缆附件	米	25pvc线管	壁厚缺失
REVIEW-MAT-00710	测电笔	外观: 透明；类型: 电笔	工具器具/电工工具	个	透明电笔	电压范围缺失
REVIEW-MAT-00711	漏电断路器	品牌: 施耐德；极数: 3P；电流: 250A	电气材料/低压电器	个	施耐德3p250A漏保	状态：可建档 | 可合并；型号/漏电动作电流缺失 | 与第1305行同物料，型号缺失
REVIEW-MAT-00712	雨鞋	品牌: 回力；特征: 厚底	劳保耗材/足部防护	双	回力厚底雨鞋	尺码/筒高缺失
REVIEW-MAT-00713	热熔机	品牌: 公元；用途: PPR热熔	工具器具/管道工具	台	公元热熔机	功率/适用口径缺失
REVIEW-MAT-00714	PPR弯头	品牌: 公元；规格: 25；材质: PPR	工程材料/PPR管件	个	公元25PPR弯头	角度/压力等级缺失
REVIEW-MAT-00715	PPR管卡	品牌: 公元；规格: 25；类型: 卡扣/管卡	工程材料/PPR管件	个	公元ppr25卡扣	卡扣/管卡叫法需统一
REVIEW-MAT-00716	PPR直通	品牌: 公元；规格: 25；材质: PPR	工程材料/PPR管件	个	公元ppr25直通	压力等级缺失
REVIEW-MAT-00717	不锈钢球阀	品牌: 埃美柯；规格: 50；材质: 不锈钢；特征: 加厚	工程材料/阀门	个	埃美柯50加厚不锈钢球阀	压力等级/连接形式缺失
REVIEW-MAT-00718	美工刀	类型: 美工刀	工具器具/手动工具	把	美工刀	状态：可合并；与第403行同物料，单位需统一
REVIEW-MAT-00719	美工刀片	品牌: 得力；类型: 刀片	工具器具/手动工具配件	盒	得力刀片	状态：可建档 | 可合并；规格/每盒数量缺失 | 与第1320行同物料，规格缺失
REVIEW-MAT-00720	老虎钳	品牌: 世达；类型: 老虎钳	工具器具/手动工具	把	世达老虎钳	规格尺寸缺失
REVIEW-MAT-00721	割炬	规格: 100型	焊接耗材/焊割工具	把	100型割炬	气体类型/品牌缺失
REVIEW-MAT-00722	尖嘴钳	品牌: 世达；类型: 尖嘴钳	工具器具/手动工具	把	世达尖嘴钳	规格尺寸缺失
REVIEW-MAT-00723	活动扳手	品牌: 世达；类型: 活动扳手	工具器具/手动工具	把	世达活动扳手	规格尺寸缺失
REVIEW-MAT-00724	排气扇	型号: FAD40-400	电气材料/通风设备	台	FAD40-400排气扇	功率/电压缺失
REVIEW-MAT-00725	钢格板	定制: 是；尺寸: 1.3-1.5米	定制件/金属加工件	块	定做1.3-1.5米钢格板	状态：可建档-定制件；图纸/承载/材质缺失
REVIEW-MAT-00726	切割嘴	规格: 100型	焊接耗材/焊割配件	个	100型切割嘴	气体类型/孔径缺失
REVIEW-MAT-00727	导电嘴	适用: 二氧化碳焊；类型: 导电嘴	焊接耗材/焊机配件	个	二氧化碳导电嘴	孔径/适配焊枪缺失
REVIEW-MAT-00728	膨胀螺丝	规格: M20*140	五金备件/紧固件	个	M20*140膨胀螺丝	材质/表面处理缺失
REVIEW-MAT-00729	膨胀螺丝	规格: M22*140	五金备件/紧固件	个	M22*140膨胀螺丝	材质/表面处理缺失
REVIEW-MAT-00730	PPR管	规格: DN200；材质: PPR	工程材料/PPR管件	米	DN200PPR管	压力等级/品牌缺失
REVIEW-MAT-00731	PPR接头	规格: 200；材质: PPR	工程材料/PPR管件	个	200PPR接头	接头形式/压力等级缺失
REVIEW-MAT-00732	花篮螺丝	规格: 10厘	吊装索具/拉紧器	个	10厘花篮	材质/载荷缺失
REVIEW-MAT-00733	膨胀钩	规格: 10厘	五金备件/紧固件	个	10厘膨胀钩	材质/载荷缺失
REVIEW-MAT-00734	拖把	类型: 拖把	劳保耗材/清洁工具	个	拖把	状态：可合并；与第1107行同物料，单位需统一
REVIEW-MAT-00735	双门控制箱	定制: 是；结构: 双门	定制件/电控箱	套	定做双门控制箱	状态：可建档-定制件；尺寸/电气配置/IP等级缺失
REVIEW-MAT-00736	推进泵吸轮	定制: 是；适用设备: 推进泵；类型: 吸轮	定制件/设备备件	套	定做推进泵吸轮	状态：可建档-定制件；图纸/材质缺失
REVIEW-MAT-00737	扁钢	规格: 40*4	原材料/型钢	米	40*4扁铁	材质牌号缺失
REVIEW-MAT-00738	水平尺	长度: 60cm	工具器具/测量工具	把	60cm水平尺	
REVIEW-MAT-00739	水平尺	长度: 100cm	工具器具/测量工具	把	100cm水平尺	
REVIEW-MAT-00740	不锈钢合页	规格: 110；材质: 不锈钢	五金备件/门窗五金	副	110不锈钢合页	厚度/孔位缺失
REVIEW-MAT-00741	钻头	规格: 4.0	工具器具/工具配件	支	4.0钻头	材质/柄型缺失
REVIEW-MAT-00742	钻头	规格: 5.0	工具器具/工具配件	支	5.0钻头	材质/柄型缺失
REVIEW-MAT-00743	钻头	规格: 5.5	工具器具/工具配件	支	5.5钻头	材质/柄型缺失
REVIEW-MAT-00744	自喷漆	颜色: 白色；类型: 喷漆	化工耗材/涂料	瓶	白色喷漆	状态：可合并；与第54行同类，品牌/容量缺失
REVIEW-MAT-00745	钢管	规格: 32*4.5	原材料/钢管	米	32*4.5钢管	材质/标准缺失
REVIEW-MAT-00746	螺丝	规格: M20*130	五金备件/紧固件	套	M20*130螺丝	材质/强度等级缺失
REVIEW-MAT-00747	螺丝	规格: M20*35	五金备件/紧固件	套	M20*35螺丝	材质/强度等级缺失
REVIEW-MAT-00748	螺丝	规格: M20*40	五金备件/紧固件	套	M20*40螺丝	材质/强度等级缺失
REVIEW-MAT-00749	伸缩铝梯	长度: 12米；材质: 铝；特征: 加厚伸缩	工具器具/登高工具	台	12米加厚伸缩铝梯	承重等级缺失
REVIEW-MAT-00750	铁圈卡扣	加工: 是；规格: 168；类型: 铁圈卡扣	定制件/管路接头	个	加工168铁圈卡扣	状态：可建档-定制件；图纸/材质缺失
REVIEW-MAT-00751	带牙铁管加工件	加工: 是；规格: 80*150；工序: 带牙	定制件/钢管加工件	根	加工80*150铁管带牙	状态：可建档-定制件；牙型/图纸缺失
REVIEW-MAT-00752	膨胀螺丝	规格: 8*60	五金备件/紧固件	个	8*60膨胀螺丝	是否M8/材质缺失
REVIEW-MAT-00753	无缝管	规格: 325*12	原材料/钢管	米	325*12无缝管	材质/标准缺失
REVIEW-MAT-00754	焊接弯头	规格: 325；特征: 加厚；连接: 焊接	工程材料/管件	个	325加厚焊接弯头	角度/材质/壁厚缺失
REVIEW-MAT-00755	法兰盘	规格: 325；类型: 法兰盘	工程材料/管件	个	325法兰盘	压力等级/材质/孔距缺失
REVIEW-MAT-00756	法兰胶垫	规格: 325；材质: 胶	工程材料/密封垫	个	325胶垫	厚度/材质等级缺失
REVIEW-MAT-00757	螺丝	规格: 22*100	五金备件/紧固件	个	22*100螺丝	是否M22/材质缺失
REVIEW-MAT-00758	螺母	规格: 22	五金备件/紧固件	个	22螺母	是否M22/材质缺失
REVIEW-MAT-00759	不锈钢球阀	品牌: 埃美柯；规格: 80；材质: 不锈钢；特征: 厚	工程材料/阀门	个	埃美柯80不锈钢厚球阀	状态：可合并；与第1219行同类，压力等级缺失
REVIEW-MAT-00760	鸭嘴吊具	载荷: 20T；类型: 鸭嘴吊具	吊装索具/吊具	个	20T鸭嘴吊具	执行标准/开口尺寸缺失
REVIEW-MAT-00761	油布	类型: 油布	建筑材料/防护覆盖	平方	油布	状态：可合并；与第1230行同类，厚度/材质缺失
REVIEW-MAT-00762	鞋垫	类型: 鞋垫	劳保耗材/足部防护	双	鞋垫	状态：可建档-低精度；尺码/材质缺失
REVIEW-MAT-00763	无缝管加工件	加工: 是；规格: 325*12；长度: 12米	定制件/钢管加工件	根	加工325*12无缝管加工12米	状态：可建档-定制件；材质/图纸/端部处理缺失
REVIEW-MAT-00764	卡簧	规格: 40；类型: 卡簧	五金备件/紧固件	个	40卡簧	内/外卡簧类型缺失
REVIEW-MAT-00765	螺丝	规格: 16*160	五金备件/紧固件	个	16*160螺丝	是否M16/材质缺失
REVIEW-MAT-00766	不锈钢骑马卡	规格: 40；材质: 不锈钢	五金备件/管道紧固	个	40不锈钢骑马卡	适配管径/厚度缺失
REVIEW-MAT-00767	膨胀螺丝	规格: 6厘	五金备件/紧固件	个	6厘膨胀螺丝	长度/材质缺失
REVIEW-MAT-00768	卡槽弯头	定制: 是；规格: 168；特征: 加长、带卡槽	定制件/管路接头	个	定做加长168弯头带卡槽	状态：可建档-定制件；图纸/角度/材质缺失
REVIEW-MAT-00769	卡槽弯头	定制: 是；规格: 219；特征: 加长、带卡槽	定制件/管路接头	个	定做加长219弯头带卡槽	状态：可建档-定制件；图纸/角度/材质缺失
REVIEW-MAT-00770	扁平吊装带	执行标准: 国标；颜色: 彩色；额定载荷: 3T；长度: 3米	吊装索具/吊带	付	国标彩色3T*3米吊带	材质/安全系数/宽度缺失
REVIEW-MAT-00771	扁平吊装带	执行标准: 国标；颜色: 彩色；额定载荷: 5T；长度: 6米	吊装索具/吊带	付	国标彩色5T*6米吊带	材质/安全系数/宽度缺失
REVIEW-MAT-00772	弓形卸扣	额定载荷: 6.5T；型式: 弓形	吊装索具/卸扣	个	6.5T弓形卸扣	销轴形式/标准缺失
REVIEW-MAT-00773	弓形卸扣	额定载荷: 4.75T；型式: 弓形	吊装索具/卸扣	个	4.75T弓形卸扣	销轴形式/标准缺失
REVIEW-MAT-00774	集装袋	载重: 1.5T	包装材料/集装袋	个	1.5T吨袋	尺寸/吊带形式/是否覆膜缺失
REVIEW-MAT-00775	无缝钢管	外径: 48mm；壁厚: 4.0mm	钢材/钢管	米	48*4.0无缝管	材质/执行标准缺失
REVIEW-MAT-00776	防锈润滑剂	品牌/型号: WD-40	化工耗材/润滑剂	瓶	WD40润滑剂	容量规格缺失
REVIEW-MAT-00777	弓形卸扣	额定载荷: 9.5T；型式: 弓形	吊装索具/卸扣	个	9.5T弓形卸扣	销轴形式/标准缺失
REVIEW-MAT-00778	敲击螺丝刀	长度: 400mm	工具/手动工具	个	400敲击螺丝刀	状态：可建档 | 可合并；一字/十字/刀杆规格缺失 | 与1422同类，一字/十字需确认
REVIEW-MAT-00779	接地线	品牌: 起帆；截面积: 16mm2；用途: 接地	电气材料/电线电缆	米	起帆16平方地线	导体材质/芯数/颜色缺失
REVIEW-MAT-00780	DT铜鼻子	型号: DT；适配线径: 150mm2；材质: 铜	电气材料/电缆附件	个	DT150平方铜鼻子	孔径/是否镀锡缺失
REVIEW-MAT-00781	DT铜鼻子	型号: DT；适配线径: 120mm2；材质: 铜	电气材料/电缆附件	个	DT120平方铜鼻子	孔径/是否镀锡缺失
REVIEW-MAT-00782	DT铜鼻子	型号: DT；适配线径: 95mm2；材质: 铜	电气材料/电缆附件	个	DT95平方铜鼻子	孔径/是否镀锡缺失
REVIEW-MAT-00783	DT铜鼻子	型号: DT；适配线径: 70mm2；材质: 铜	电气材料/电缆附件	个	DT70平方铜鼻子	孔径/是否镀锡缺失
REVIEW-MAT-00784	OT铜端子	型号: OT25-8；线径规格: 25mm2；孔径: 8mm；材质: 铜	电气材料/电缆附件	个	OT25-8铜端子	是否镀锡需确认
REVIEW-MAT-00785	OT铜端子	型号: OT6-6；线径规格: 6mm2；孔径: 6mm；材质: 铜	电气材料/电缆附件	个	OT6-6铜端子	是否镀锡需确认
REVIEW-MAT-00786	消防蝶阀	公称直径: DN150；特征: 加长	阀门/消防阀门	个	150消防加长蝶阀	连接方式/压力等级/阀体材质缺失
REVIEW-MAT-00787	国标法兰	规格: DN325；压力等级: 16kg；执行标准: 国标	管件/法兰	个	325*16KG国标法兰	材质/密封面形式缺失
REVIEW-MAT-00788	法兰垫片	规格: DN325；材质: 胶	管件/密封垫片	个	325胶垫	压力等级/材质细分缺失
