reviewed_group_path,canonical_group_path,canonical_level1,canonical_level2,canonical_level3,confidence,rule_reason,needs_human_review
安全防护/安全带,安全防护/高处与水域防护/高处防护,安全防护,高处与水域防护,高处防护,0.95,"一级分类已规范：安全防护；关键词规则：安全带,安全绳,登高,高处",true
安全防护/安全绳,安全防护/高处与水域防护/高处防护,安全防护,高处与水域防护,高处防护,0.95,"一级分类已规范：安全防护；关键词规则：安全带,安全绳,登高,高处",true
安全防护/水域防护,安全防护/高处与水域防护/水域防护,安全防护,高处与水域防护,水域防护,0.95,一级分类已规范：安全防护；关键词规则：水域,false
安全防护/登高工具,安全防护/高处与水域防护/高处防护,安全防护,高处与水域防护,高处防护,0.95,"一级分类已规范：安全防护；关键词规则：安全带,安全绳,登高,高处",true
安全防护/警示灯,安全防护/警示标识/反光警示,安全防护,警示标识,反光警示,0.95,"一级分类已规范：安全防护；关键词规则：反光,警示,标识,标牌,交通标识",false
安全防护/警示用品,安全防护/警示标识/反光警示,安全防护,警示标识,反光警示,0.95,"一级分类已规范：安全防护；关键词规则：反光,警示,标识,标牌,交通标识",false
安全防护/防护网,安全防护/隔离防护/防护网,安全防护,隔离防护,防护网,0.95,"一级分类已规范：安全防护；关键词规则：防护网,隔离,防撞",false
安全防护/高处防护,安全防护/高处与水域防护/高处防护,安全防护,高处与水域防护,高处防护,0.95,"一级分类已规范：安全防护；关键词规则：安全带,安全绳,登高,高处",true
定制件/包装袋,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/吊装索具,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/塑料管加工件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/安全围栏,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/安全防护,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/密封垫片,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/工具治具,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/排烟罩,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/木制加工件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/机械加工件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/标识模板,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/标识铭牌,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/橡胶件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/橡胶加工件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/气动管路件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/液压接头,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/液压管路,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/电控箱,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/电气箱柜,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/管夹卡箍,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/管路加工件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/管路接头,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/管路组件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/管道紧固,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/紧固件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/设备加工件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/设备备件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/设备滤网,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/通风风筒,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/遮雨棚,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/配电箱,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/金属加工件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/钢筋加工件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/钢管加工件,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/门窗制品,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
定制件/防护罩,设备备件与加工件/金属加工件/金属加工件,设备备件与加工件,金属加工件,金属加工件,0.94,"一级同义合并：定制件 -> 设备备件与加工件；关键词规则：金属加工,加工件,定制件",false
容器/周转箱,行政办公与清洁/生活后勤/生活用品,行政办公与清洁,生活后勤,生活用品,0.94,"一级同义合并：容器 -> 行政办公与清洁；关键词规则：生活,家具,小电器,容器",false
容器/塑料桶,行政办公与清洁/生活后勤/生活用品,行政办公与清洁,生活后勤,生活用品,0.94,"一级同义合并：容器 -> 行政办公与清洁；关键词规则：生活,家具,小电器,容器",false
容器/水桶水箱,行政办公与清洁/生活后勤/生活用品,行政办公与清洁,生活后勤,生活用品,0.94,"一级同义合并：容器 -> 行政办公与清洁；关键词规则：生活,家具,小电器,容器",false
容器/水箱,行政办公与清洁/生活后勤/生活用品,行政办公与清洁,生活后勤,生活用品,0.94,"一级同义合并：容器 -> 行政办公与清洁；关键词规则：生活,家具,小电器,容器",false
容器/漏斗,行政办公与清洁/生活后勤/生活用品,行政办公与清洁,生活后勤,生活用品,0.94,"一级同义合并：容器 -> 行政办公与清洁；关键词规则：生活,家具,小电器,容器",false
密封件/O型圈,密封件/橡胶密封/O型圈油封,密封件,橡胶密封,O型圈油封,0.95,"一级分类已规范：密封件；关键词规则：O型,密封圈,油封",false
密封件/垫片,密封件/垫片盘根/垫片盘根,密封件,垫片盘根,垫片盘根,0.95,"一级分类已规范：密封件；关键词规则：垫片,盘根",false
密封件/机械密封,密封件/其他/机械密封,密封件,其他,机械密封,0.62,一级分类已规范：密封件；仅完成一级合并，保留原二级作为三级待复核,true
密封件/水封,密封件/其他/水封,密封件,其他,水封,0.62,一级分类已规范：密封件；仅完成一级合并，保留原二级作为三级待复核,true
密封材料/四氟制品,待治理/待治理/四氟制品,待治理,待治理,四氟制品,0.25,未知一级分类：密封材料；未命中一级和关键词规则,true
密封材料/胶垫,待治理/待治理/胶垫,待治理,待治理,胶垫,0.25,未知一级分类：密封材料；未命中一级和关键词规则,true
密封材料/非金属垫块,待治理/待治理/非金属垫块,待治理,待治理,非金属垫块,0.25,未知一级分类：密封材料；未命中一级和关键词规则,true
工具/冲凿工具,工具器具/其他/冲凿工具,工具器具,其他,冲凿工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/冲头,工具器具/其他/冲头,工具器具,其他,冲头,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/刀具,工具器具/手动工具/钳剪刀锤,工具器具,手动工具,钳剪刀锤,0.94,"一级同义合并：工具 -> 工具器具；关键词规则：钳,剪,刀,锤,锯,铲,撬",false
工具/刀片,工具器具/手动工具/钳剪刀锤,工具器具,手动工具,钳剪刀锤,0.94,"一级同义合并：工具 -> 工具器具；关键词规则：钳,剪,刀,锤,锯,铲,撬",false
工具/剪切工具,工具器具/手动工具/钳剪刀锤,工具器具,手动工具,钳剪刀锤,0.94,"一级同义合并：工具 -> 工具器具；关键词规则：钳,剪,刀,锤,锯,铲,撬",false
工具/夹持工具,工具器具/其他/夹持工具,工具器具,其他,夹持工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/套筒,工具器具/其他/套筒,工具器具,其他,套筒,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/工具包,工具器具/其他/工具包,工具器具,其他,工具包,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/手动工具,工具器具/手动工具/通用手动工具,工具器具,手动工具,通用手动工具,0.95,人工示例：工具/手动工具并入工具器具体系,false
工具/拆卸工具,工具器具/其他/拆卸工具,工具器具,其他,拆卸工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/施胶工具,工具器具/其他/施胶工具,工具器具,其他,施胶工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/检测模具,工具器具/其他/检测模具,工具器具,其他,检测模具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/气动工具,工具器具/气动工具/气动工具,工具器具,气动工具,气动工具,0.94,"一级同义合并：工具 -> 工具器具；关键词规则：气动扳手,气动工具",false
工具/泥瓦工具,工具器具/其他/泥瓦工具,工具器具,其他,泥瓦工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/测量工具,工具器具/量具测量/量具测量,工具器具,量具测量,量具测量,0.94,"一级同义合并：工具 -> 工具器具；关键词规则：量具,测量,卷尺,水平仪,卡尺",false
工具/测量放线工具,工具器具/量具测量/量具测量,工具器具,量具测量,量具测量,0.94,"一级同义合并：工具 -> 工具器具；关键词规则：量具,测量,卷尺,水平仪,卡尺",false
工具/液压工具,工具器具/其他/液压工具,工具器具,其他,液压工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/清理工具,工具器具/其他/清理工具,工具器具,其他,清理工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/焊割工具,工具器具/其他/焊割工具,工具器具,其他,焊割工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/焊接工具,工具器具/其他/焊接工具,工具器具,其他,焊接工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/照明工具,工具器具/其他/照明工具,工具器具,其他,照明工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/燃气工具,工具器具/其他/燃气工具,工具器具,其他,燃气工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/电动工具,工具器具/电动工具/电钻角磨机,工具器具,电动工具,电钻角磨机,0.94,"一级同义合并：工具 -> 工具器具；关键词规则：电钻,手电钻,角磨机,电动",false
工具/电工仪表,工具器具/其他/电工仪表,工具器具,其他,电工仪表,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/电工工具,工具器具/其他/电工工具,工具器具,其他,电工工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/登高工具,工具器具/其他/登高工具,工具器具,其他,登高工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/管道工具,工具器具/其他/管道工具,工具器具,其他,管道工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/辅助工具,工具器具/其他/辅助工具,工具器具,其他,辅助工具,0.62,一级同义合并：工具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具/钻头,工具器具/工具耗材/钻头,工具器具,工具耗材,钻头,0.94,一级同义合并：工具 -> 工具器具；关键词规则：钻头,false
工具/钻铣刀具,工具器具/手动工具/钳剪刀锤,工具器具,手动工具,钳剪刀锤,0.94,"一级同义合并：工具 -> 工具器具；关键词规则：钳,剪,刀,锤,锯,铲,撬",false
工具器具/容器,工具器具/其他/容器,工具器具,其他,容器,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/工具配件,工具器具/工具配件/工具配件,工具器具,工具配件,工具配件,0.95,"一级分类已规范：工具器具；关键词规则：工具配件,配件",false
工具器具/手动工具,工具器具/其他/手动工具,工具器具,其他,手动工具,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/手动工具配件,工具器具/工具配件/工具配件,工具器具,工具配件,工具配件,0.95,"一级分类已规范：工具器具；关键词规则：工具配件,配件",false
工具器具/打磨工具,工具器具/其他/打磨工具,工具器具,其他,打磨工具,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/搬运工具,工具器具/其他/搬运工具,工具器具,其他,搬运工具,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/施工工具,工具器具/其他/施工工具,工具器具,其他,施工工具,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/检测仪器,工具器具/其他/检测仪器,工具器具,其他,检测仪器,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/检测仪器配件,工具器具/工具配件/工具配件,工具器具,工具配件,工具配件,0.95,"一级分类已规范：工具器具；关键词规则：工具配件,配件",false
工具器具/气动工具,工具器具/气动工具/气动工具,工具器具,气动工具,气动工具,0.95,"一级分类已规范：工具器具；关键词规则：气动扳手,气动工具",false
工具器具/测量工具,工具器具/量具测量/量具测量,工具器具,量具测量,量具测量,0.95,"一级分类已规范：工具器具；关键词规则：量具,测量,卷尺,水平仪,卡尺",false
工具器具/涂装工具,工具器具/涂装工具/刷辊喷涂,工具器具,涂装工具,刷辊喷涂,0.95,"一级分类已规范：工具器具；关键词规则：涂装,刷,滚筒,喷壶",false
工具器具/清洁工具,工具器具/其他/清洁工具,工具器具,其他,清洁工具,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/清洗工具,工具器具/其他/清洗工具,工具器具,其他,清洗工具,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/电力工具,工具器具/其他/电力工具,工具器具,其他,电力工具,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/电动工具,工具器具/电动工具/电钻角磨机,工具器具,电动工具,电钻角磨机,0.95,"一级分类已规范：工具器具；关键词规则：电钻,手电钻,角磨机,电动",false
工具器具/电工工具,工具器具/其他/电工工具,工具器具,其他,电工工具,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/登高工具,工具器具/其他/登高工具,工具器具,其他,登高工具,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/磨切耗材,工具器具/其他/磨切耗材,工具器具,其他,磨切耗材,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具器具/管道工具,工具器具/其他/管道工具,工具器具,其他,管道工具,0.62,一级分类已规范：工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具备件/喷枪配件,工具器具/工具配件/工具配件,工具器具,工具配件,工具配件,0.94,"一级同义合并：工具备件 -> 工具器具；关键词规则：工具配件,配件",false
工具备件/手动工具配件,工具器具/工具配件/工具配件,工具器具,工具配件,工具配件,0.94,"一级同义合并：工具备件 -> 工具器具；关键词规则：工具配件,配件",false
工具备件/电动工具配件,工具器具/电动工具/电钻角磨机,工具器具,电动工具,电钻角磨机,0.94,"一级同义合并：工具备件 -> 工具器具；关键词规则：电钻,手电钻,角磨机,电动",false
工具耗材/凿具,工具器具/其他/凿具,工具器具,其他,凿具,0.62,一级同义合并：工具耗材 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具耗材/刀片,工具器具/手动工具/钳剪刀锤,工具器具,手动工具,钳剪刀锤,0.94,"一级同义合并：工具耗材 -> 工具器具；关键词规则：钳,剪,刀,锤,锯,铲,撬",false
工具耗材/划线耗材,工具器具/其他/划线耗材,工具器具,其他,划线耗材,0.62,一级同义合并：工具耗材 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具耗材/标记用品,工具器具/其他/标记用品,工具器具,其他,标记用品,0.62,一级同义合并：工具耗材 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具耗材/磨料磨具,工具器具/工具耗材/切磨耗材,工具器具,工具耗材,切磨耗材,0.94,"一级同义合并：工具耗材 -> 工具器具；关键词规则：切割片,磨片,砂轮,磨具,磨料",false
工具耗材/计量工具,工具器具/其他/计量工具,工具器具,其他,计量工具,0.62,一级同义合并：工具耗材 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工具耗材/钻头,工具器具/工具耗材/钻头,工具器具,工具耗材,钻头,0.94,一级同义合并：工具耗材 -> 工具器具；关键词规则：钻头,false
工程器具/料斗,工具器具/其他/料斗,工具器具,其他,料斗,0.62,一级同义合并：工程器具 -> 工具器具；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/PPR管件,工程建材/水暖建材/水暖五金,工程建材,水暖建材,水暖五金,0.94,"一级同义合并：工程材料 -> 工程建材；关键词规则：水暖,PPR管件,PPR管材",false
工程材料/PVC管件,工程建材/其他/PVC管件,工程建材,其他,PVC管件,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/UPVC管件,工程建材/其他/UPVC管件,工程建材,其他,UPVC管件,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/喷淋配件,工程建材/其他/喷淋配件,工程建材,其他,喷淋配件,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/堵漏注浆材料,工程建材/保温防水/防水堵漏,工程建材,保温防水,防水堵漏,0.94,"一级同义合并：工程材料 -> 工程建材；关键词规则：防水,堵漏,注浆",false
工程材料/密封垫,工程建材/其他/密封垫,工程建材,其他,密封垫,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/排水管件,工程建材/其他/排水管件,工程建材,其他,排水管件,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/水暖五金,工程建材/水暖建材/水暖五金,工程建材,水暖建材,水暖五金,0.94,"一级同义合并：工程材料 -> 工程建材；关键词规则：水暖,PPR管件,PPR管材",false
工程材料/水暖管件,工程建材/水暖建材/水暖五金,工程建材,水暖建材,水暖五金,0.94,"一级同义合并：工程材料 -> 工程建材；关键词规则：水暖,PPR管件,PPR管材",false
工程材料/水暖辅材,工程建材/水暖建材/水暖五金,工程建材,水暖建材,水暖五金,0.94,"一级同义合并：工程材料 -> 工程建材；关键词规则：水暖,PPR管件,PPR管材",false
工程材料/注浆材料,工程建材/保温防水/防水堵漏,工程建材,保温防水,防水堵漏,0.94,"一级同义合并：工程材料 -> 工程建材；关键词规则：防水,堵漏,注浆",false
工程材料/洁具,工程建材/其他/洁具,工程建材,其他,洁具,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/洁具配件,工程建材/其他/洁具配件,工程建材,其他,洁具配件,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/测量标识,工程建材/其他/测量标识,工程建材,其他,测量标识,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/管件,工程建材/其他/管件,工程建材,其他,管件,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/管道紧固,工程建材/其他/管道紧固,工程建材,其他,管道紧固,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/管道辅材,工程建材/其他/管道辅材,工程建材,其他,管道辅材,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/篷布油布,工程建材/其他/篷布油布,工程建材,其他,篷布油布,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/软管,工程建材/其他/软管,工程建材,其他,软管,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
工程材料/阀门,工程建材/其他/阀门,工程建材,其他,阀门,0.62,一级同义合并：工程材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建材/堵漏材料,工程建材/保温防水/防水堵漏,工程建材,保温防水,防水堵漏,0.94,"一级同义合并：建材 -> 工程建材；关键词规则：防水,堵漏,注浆",false
建材/水泥,工程建材/水泥砂石/水泥砂石,工程建材,水泥砂石,水泥砂石,0.94,"一级同义合并：建材 -> 工程建材；关键词规则：水泥,砂,石",false
建材/水泥砂浆,工程建材/水泥砂石/水泥砂石,工程建材,水泥砂石,水泥砂石,0.94,"一级同义合并：建材 -> 工程建材；关键词规则：水泥,砂,石",false
建材/砂石,工程建材/水泥砂石/水泥砂石,工程建材,水泥砂石,水泥砂石,0.94,"一级同义合并：建材 -> 工程建材；关键词规则：水泥,砂,石",false
建材/砂石料,工程建材/水泥砂石/水泥砂石,工程建材,水泥砂石,水泥砂石,0.94,"一级同义合并：建材 -> 工程建材；关键词规则：水泥,砂,石",false
建材/砌块,工程建材/其他/砌块,工程建材,其他,砌块,0.62,一级同义合并：建材 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建材/防水材料,工程建材/保温防水/防水堵漏,工程建材,保温防水,防水堵漏,0.94,"一级同义合并：建材 -> 工程建材；关键词规则：防水,堵漏,注浆",false
建筑周转材料/脚手架,工程建材/其他/脚手架,工程建材,其他,脚手架,0.62,一级同义合并：建筑周转材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建筑施工耗材/模板配件,工程建材/其他/模板配件,工程建材,其他,模板配件,0.62,一级同义合并：建筑施工耗材 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建筑施工耗材/紧固件,工程建材/其他/紧固件,工程建材,其他,紧固件,0.62,一级同义合并：建筑施工耗材 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建筑施工耗材/脚手架扣件,工程建材/其他/脚手架扣件,工程建材,其他,脚手架扣件,0.62,一级同义合并：建筑施工耗材 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建筑施工耗材/脚手架管,工程建材/其他/脚手架管,工程建材,其他,脚手架管,0.62,一级同义合并：建筑施工耗材 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建筑材料/井盖,工程建材/其他/井盖,工程建材,其他,井盖,0.62,一级同义合并：建筑材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建筑材料/保温防火材料,工程建材/保温防水/保温材料,工程建材,保温防水,保温材料,0.94,"一级同义合并：建筑材料 -> 工程建材；关键词规则：保温,挤塑板",false
建筑材料/土工材料,工程建材/其他/土工材料,工程建材,其他,土工材料,0.62,一级同义合并：建筑材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建筑材料/彩钢板,工程建材/其他/彩钢板,工程建材,其他,彩钢板,0.62,一级同义合并：建筑材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建筑材料/木材,工程建材/其他/木材,工程建材,其他,木材,0.62,一级同义合并：建筑材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建筑材料/板材,工程建材/板材型材/板材,工程建材,板材型材,板材,0.94,"一级同义合并：建筑材料 -> 工程建材；关键词规则：板材,木板,塑料板,硅晶板",false
建筑材料/模板,工程建材/其他/模板,工程建材,其他,模板,0.62,一级同义合并：建筑材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
建筑材料/模板木方,工程建材/其他/模板木方,工程建材,其他,模板木方,0.62,一级同义合并：建筑材料 -> 工程建材；仅完成一级合并，保留原二级作为三级待复核,true
