候选词	建议物料族	处理建议	置信度	覆盖SKU数	覆盖标准名称数	当前物料族数	是否跨一级类目	主要分类	当前物料族	样例标准名称	样例SKU	说明
刷	刷	可作为候选，但需按用途/系统拆分	medium	36	14	14	是	工具耗材/刷具:30；电动气动工具/工具附件:3；清洁办公后勤/清洁工具:2；清洁办公后勤/生活用品:1	厕所刷；地毯刷；小滚筒刷；毛刷；滚筒刷；漆刷；牙刷；电镐碳刷；碳刷；羊毛刷；羊毛漆刷；边角刷伸缩杆	厕所刷；地毯刷；小滚筒刷；毛刷；滚筒刷；漆刷；牙刷；电镐碳刷；碳刷；羊毛刷；羊毛漆刷；边角刷伸缩杆	TOOL-000004 滚筒刷 规格：4寸；TOOL-000010 羊毛刷 规格：4寸；TOOL-000011 羊毛刷 规格：4寸；TOOL-000023 毛刷 规格：3寸；TOOL-000024 钢丝刷 类型：刀型；TOOL-000035 毛刷 规格：3寸；TOOL-000036 羊毛刷 规格：4寸；材质：羊毛；TOOL-000038 毛刷 规格：4寸	覆盖多个一级类目，可能同词不同物，需要先拆用途。
三通	三通	可作为候选，但需按用途/系统拆分	medium	34	17	4	是	管材管件阀门/三通:27；液压气动/液压接头:3；液压气动/气动接头:3；定制加工件/管路接头:1	三通；定制管路接头；气动接头；液压接头	PPR三通；PPR内牙三通；PVC三通；UPVC Y型三通；UPVC三通；UPVC斜三通；三通；三通抱箍；三通接头；不锈钢三通；不锈钢卡套三通；异径三通	PIPE-000007 PPR三通 品牌：公元；规格：25；类型：三通；PIPE-000008 PPR内牙三通 品牌：公元；规格：25；连接：内牙；类型：三通；PIPE-000017 PPR三通 规格：25；类型：三通；PIPE-000019 排水三通 品牌：公元；规格：75；类型：三通；PIPE-000022 排水三通 品牌：公元；规格：50；类型：三通；PIPE-000024 排水异径三通 品牌：公元；规格：75*50；类型：三通；PIPE-000033 不锈钢三通 材质：不锈钢；规格：4分；类型：三通；PIPE-000049 三通抱箍 加工：是；长度：1.15米；特征：加厚；类型：三通抱箍	覆盖多个一级类目，可能同词不同物，需要先拆用途。
泵	泵	可作为候选，但需按用途/系统拆分	medium	33	25	25	是	施工机具设备/泵类设备:22；设备备件/泵类备件:5；定制加工件/金属加工件:3；工具量具/手动工具:2；电气电料/低压电器:1	不锈钢增压泵；供水增压泵；变频自吸泵；多点黄油泵；推进泵加长弯头；推进泵吸轮；水泵；水泵自动控制开关；水泵钳；水泵防护罩；污水泵；泥浆泵活塞	不锈钢增压泵；供水增压泵；变频自吸泵；多点黄油泵；推进泵加长弯头；推进泵吸轮；水泵；水泵自动控制开关；水泵钳；水泵防护罩；污水泵；泥浆泵活塞	CHEM-000021 多点黄油泵 容量：8升；出口数：4出口；SPARE-000044 推进泵加长弯头 加工定做：是；适用设备：推进泵；规格：189；特征：加长大弯头；SPARE-000047 立式排污泵 功率：2.2kW；安装：立式；类型：排污泵；SPARE-000054 深井潜水泵 功率：1.1kW；类型：深井潜水泵；SPARE-000055 污水泵 功率：1.5kW；类型：污水泵；SPARE-000058 潜水泵 电压：380V；功率：2.2kW；SPARE-000064 污水泵 功率：1.5kW；口径：2寸；SPARE-000074 推进泵吸轮 定制：是；适用设备：推进泵；类型：吸轮	覆盖多个一级类目，可能同词不同物，需要先拆用途。
管卡	管卡	可作为候选，但需按用途/系统拆分	medium	31	23	3	是	紧固件与连接件/管卡:29；定制加工件/管路接头:1；焊接切割/气瓶附件:1	定制管路接头；气体软管卡箍；管卡	PE管卡箍组件；PPR管卡；PVC管卡；不锈钢卡槽；不锈钢双卡抱箍；不锈钢管箍；不锈钢骑马卡；卡槽导轨；卡箍；双联重型管卡；抱箍；抱箍钢卡	PIPE-000013 水管钩 规格：25；PIPE-000037 重型管卡 规格：135；类型：重型；PIPE-000063 抱箍钢卡 规格：325；特征：加厚；材质：钢；PIPE-000072 管卡 规格：32；类型：管卡；PIPE-000094 PVC管卡 品牌：公元；材质：PVC；规格：40；PIPE-000098 管卡 品牌：公元；规格：110；PIPE-000116 PPR管卡 品牌：公元；规格：25；类型：管卡；METAL-000055 不锈钢骑马卡 规格：40；材质：不锈钢	覆盖多个一级类目，可能同词不同物，需要先拆用途。
垫片	垫片	可作为候选，但需按用途/系统拆分	medium	20	8	4	是	紧固件与连接件/垫圈:16；化工胶粘涂料/密封材料:2；管材管件阀门/法兰:1；定制加工件/图纸件:1	四氟垫片；垫圈/垫片；异形垫片；法兰	加厚垫片；四氟垫片；垫片；平垫片；异形垫片；弹簧垫片；橡胶垫片；法兰垫片	SPARE-000011 垫片 规格：110*100*5；加工：是；SPARE-000023 垫片 定制：是；规格：12*600*5；FAST-000003 平垫片 规格：14；SPARE-000050 弹簧垫片 规格：14；FAST-000006 平垫片 规格：M30；SPARE-000067 弹簧垫片 规格：M30；FAST-000007 平垫片 规格：M27；SPARE-000070 弹簧垫片 规格：M27	覆盖多个一级类目，可能同词不同物，需要先拆用途。
软管	软管	可作为候选，但需按用途/系统拆分	medium	13	9	6	是	管材管件阀门/管材:6；管材管件阀门/水暖五金:3；焊接切割/气瓶附件:3；液压气动/高压管路:1	乙炔软管；气体软管卡箍；氧气软管；管材；金属软管；高压钢丝软管	PVC钢丝软管；乙炔软管；气体软管卡箍；氧气软管；透明软管；透明钢丝软管；金属软管；钢丝软管；高压钢丝软管	PIPE-000025 金属软管 材质：金属；长度：80公分；PIPE-000026 金属软管 材质：金属；长度：40公分；PIPE-000038 金属软管 规格：4分；长度：60；PIPE-000134 透明钢丝软管 公称直径：50；特征：加厚、透明、钢丝增强；PIPE-000179 透明软管 公称直径：25；特征：透明；PIPE-000195 钢丝软管 公称直径：25；结构：钢丝增强；PIPE-000231 钢丝软管 规格：38；结构：钢丝增强；PIPE-000311 钢丝软管 规格：25；结构：钢丝增强	覆盖多个一级类目，可能同词不同物，需要先拆用途。
螺杆	螺杆	可作为候选，但需按用途/系统拆分	medium	12	8	3	是	紧固件与连接件/螺杆:10；施工机具设备/泵类设备:1；设备备件/泵类备件:1	螺杆；螺杆泵水封；螺杆泵电机套装	全螺纹丝杆；螺丝杆；螺杆；螺杆泵水封；螺杆泵电机套装；通丝螺杆；长螺杆；高强度全牙螺杆	SPARE-000057 长螺杆 规格：14*200；类型：长螺杆；FAST-000017 螺杆 规格：M20*70；FAST-000018 螺杆 规格：M20*50；FAST-000020 螺杆 规格：M16*60；FAST-000029 螺杆 规格：M10*50；FAST-000040 螺杆 规格：M48*120；SPARE-000110 螺杆泵电机套装 功率：2.2kW；材质：不锈钢；组成：螺杆泵+电机；SPARE-000111 螺杆泵水封 品牌：耐驰；原装：是；适用设备：螺杆泵	覆盖多个一级类目，可能同词不同物，需要先拆用途。
不锈	不锈	暂作为检索/属性候选	low	103	66	37	是	管材管件阀门/阀门:29；清洁办公后勤/门窗五金:10；管材管件阀门/直接:8；液压气动/气动接头:8；定制加工件/标识铭牌:7；液压气动/液压接头:7	三通；不锈钢丝网；不锈钢保温水箱；不锈钢内外门电柜；不锈钢内外门电箱；不锈钢割枪；不锈钢合页；不锈钢名牌；不锈钢增压泵；不锈钢户外箱；不锈钢抹刀；不锈钢控制箱	不锈钢C式自锁接头套装；不锈钢三通；不锈钢丝网；不锈钢两片式球阀；不锈钢保温水箱；不锈钢内丝球阀；不锈钢内外丝球阀；不锈钢内外门电柜；不锈钢内外门电箱；不锈钢内接；不锈钢刀阀；不锈钢割枪	METAL-000001 不锈钢合页 材质：不锈钢；规格：4寸；METAL-000004 不锈钢洗脸盆 材质：不锈钢；规格：120*80；特征：加厚；METAL-000005 不锈钢角阀 材质：不锈钢；规格：4分；PIPE-000031 不锈钢内接 材质：不锈钢；规格：4分；连接：内接；PIPE-000032 不锈钢外接 材质：不锈钢；规格：4分；连接：外接；PIPE-000033 不锈钢三通 材质：不锈钢；规格：4分；类型：三通；METAL-000006 不锈钢锁扣 材质：不锈钢；METAL-000008 不锈钢合页 材质：不锈钢；规格：6寸	有重复但族边界不够清晰，先不固化。
锈钢	锈钢	暂作为检索/属性候选	low	103	66	37	是	管材管件阀门/阀门:29；清洁办公后勤/门窗五金:10；管材管件阀门/直接:8；液压气动/气动接头:8；定制加工件/标识铭牌:7；液压气动/液压接头:7	三通；不锈钢丝网；不锈钢保温水箱；不锈钢内外门电柜；不锈钢内外门电箱；不锈钢割枪；不锈钢合页；不锈钢名牌；不锈钢增压泵；不锈钢户外箱；不锈钢抹刀；不锈钢控制箱	不锈钢C式自锁接头套装；不锈钢三通；不锈钢丝网；不锈钢两片式球阀；不锈钢保温水箱；不锈钢内丝球阀；不锈钢内外丝球阀；不锈钢内外门电柜；不锈钢内外门电箱；不锈钢内接；不锈钢刀阀；不锈钢割枪	METAL-000001 不锈钢合页 材质：不锈钢；规格：4寸；METAL-000004 不锈钢洗脸盆 材质：不锈钢；规格：120*80；特征：加厚；METAL-000005 不锈钢角阀 材质：不锈钢；规格：4分；PIPE-000031 不锈钢内接 材质：不锈钢；规格：4分；连接：内接；PIPE-000032 不锈钢外接 材质：不锈钢；规格：4分；连接：外接；PIPE-000033 不锈钢三通 材质：不锈钢；规格：4分；类型：三通；METAL-000006 不锈钢锁扣 材质：不锈钢；METAL-000008 不锈钢合页 材质：不锈钢；规格：6寸	有重复但族边界不够清晰，先不固化。
胶管	胶管	暂作为检索/属性候选	low	37	4	4	是	液压气动/高压管路:35；焊接切割/气瓶附件:1；液压气动/液压接头:1	氧气胶管；液压接头；胶管总成；高压胶管	氧气胶管；胶管总成；胶管接头；高压胶管	WELD-000043 氧气胶管 长度：30米；颜色：红色；执行标准：国标；适用气体：氧气；PIPE-000299 高压胶管 规格：100；形态：胶管；PIPE-000313 高压胶管 规格：50；结构等级：4SH；PIPE-000314 胶管接头 规格：100；类型：胶管接头；PIPE-000318 胶管总成 螺纹/规格：36*2；层数：2层；长度：12米；PIPE-000319 胶管总成 螺纹/规格：36*2；层数：2层；长度：17.7米；PIPE-000320 胶管总成 螺纹/规格：36*2；层数：2层；长度：5.2米；PIPE-000321 胶管总成 螺纹/规格：36*2；层数：2层；长度：7.9米	有重复但族边界不够清晰，先不固化。
总成	总成	暂作为检索/属性候选	low	36	4	4	是	液压气动/高压管路:34；设备备件/通用机械备件:1；焊接切割/气瓶附件:1	二氧化碳减压阀总成；胶管总成；高压水枪过滤总成；高压管总成	二氧化碳减压阀总成；胶管总成；高压水枪过滤总成；高压管总成	SPARE-000021 高压水枪过滤总成 适用设备：高压水枪；类型：过滤总成；PIPE-000318 胶管总成 螺纹/规格：36*2；层数：2层；长度：12米；PIPE-000319 胶管总成 螺纹/规格：36*2；层数：2层；长度：17.7米；PIPE-000320 胶管总成 螺纹/规格：36*2；层数：2层；长度：5.2米；PIPE-000321 胶管总成 螺纹/规格：36*2；层数：2层；长度：7.9米；PIPE-000322 胶管总成 螺纹/规格：36*2；层数：2层；长度：15.9米；PIPE-000323 胶管总成 螺纹/规格：36*2；层数：2层；长度：2.3米；PIPE-000324 胶管总成 螺纹/规格：36*2；层数：2层；长度：3.4米	有重复但族边界不够清晰，先不固化。
钢丝	钢丝	暂作为检索/属性候选	low	35	21	18	是	吊装索具/钢丝绳:15；管材管件阀门/管材:6；工具耗材/刷具:4；清洁办公后勤/清洁耗材:2；液压气动/高压管路:2；工具量具/手动工具:2	不锈钢丝网；不锈钢钢丝绳；环形钢丝绳；管材；钢丝刷；钢丝球；钢丝绳；钢丝绳专用剂；钢丝绳卡扣；钢丝绳夹；钢丝绳夹头；钢丝绳润滑脂	PVC钢丝软管；不锈钢丝网；不锈钢钢丝绳；环形钢丝绳；透明钢丝软管；钢丝刷；钢丝增强管；钢丝球；钢丝绳；钢丝绳专用剂；钢丝绳卡扣；钢丝绳夹	TOOL-000024 钢丝刷 类型：刀型；METAL-000023 钢丝绳 直径：6mm；METAL-000024 钢丝绳卡扣 适配直径：6mm；METAL-000034 不锈钢丝网 材质：不锈钢；METAL-000036 钢丝绳 直径：16mm；PIPE-000086 钢丝增强管 规格：1寸；结构：钢丝增强；METAL-000037 钢丝绳夹头 规格：M10；SAFE-000043 钢丝球 类型：钢丝球	有重复但族边界不够清晰，先不固化。
管总	管总	暂作为检索/属性候选	low	34	2	2	否	液压气动/高压管路:34	胶管总成；高压管总成	胶管总成；高压管总成	PIPE-000318 胶管总成 螺纹/规格：36*2；层数：2层；长度：12米；PIPE-000319 胶管总成 螺纹/规格：36*2；层数：2层；长度：17.7米；PIPE-000320 胶管总成 螺纹/规格：36*2；层数：2层；长度：5.2米；PIPE-000321 胶管总成 螺纹/规格：36*2；层数：2层；长度：7.9米；PIPE-000322 胶管总成 螺纹/规格：36*2；层数：2层；长度：15.9米；PIPE-000323 胶管总成 螺纹/规格：36*2；层数：2层；长度：2.3米；PIPE-000324 胶管总成 螺纹/规格：36*2；层数：2层；长度：3.4米；PIPE-000325 胶管总成 螺纹/规格：36*2；层数：2层；长度：3.9米	有重复但族边界不够清晰，先不固化。
管总成	管总成	暂作为检索/属性候选	low	34	2	2	否	液压气动/高压管路:34	胶管总成；高压管总成	胶管总成；高压管总成	PIPE-000318 胶管总成 螺纹/规格：36*2；层数：2层；长度：12米；PIPE-000319 胶管总成 螺纹/规格：36*2；层数：2层；长度：17.7米；PIPE-000320 胶管总成 螺纹/规格：36*2；层数：2层；长度：5.2米；PIPE-000321 胶管总成 螺纹/规格：36*2；层数：2层；长度：7.9米；PIPE-000322 胶管总成 螺纹/规格：36*2；层数：2层；长度：15.9米；PIPE-000323 胶管总成 螺纹/规格：36*2；层数：2层；长度：2.3米；PIPE-000324 胶管总成 螺纹/规格：36*2；层数：2层；长度：3.4米；PIPE-000325 胶管总成 螺纹/规格：36*2；层数：2层；长度：3.9米	有重复但族边界不够清晰，先不固化。
胶管总	胶管总	暂作为检索/属性候选	low	33	1	1	否	液压气动/高压管路:33	胶管总成	胶管总成	PIPE-000318 胶管总成 螺纹/规格：36*2；层数：2层；长度：12米；PIPE-000319 胶管总成 螺纹/规格：36*2；层数：2层；长度：17.7米；PIPE-000320 胶管总成 螺纹/规格：36*2；层数：2层；长度：5.2米；PIPE-000321 胶管总成 螺纹/规格：36*2；层数：2层；长度：7.9米；PIPE-000322 胶管总成 螺纹/规格：36*2；层数：2层；长度：15.9米；PIPE-000323 胶管总成 螺纹/规格：36*2；层数：2层；长度：2.3米；PIPE-000324 胶管总成 螺纹/规格：36*2；层数：2层；长度：3.4米；PIPE-000325 胶管总成 螺纹/规格：36*2；层数：2层；长度：3.9米	有重复但族边界不够清晰，先不固化。
胶管总成	胶管总成	暂作为检索/属性候选	low	33	1	1	否	液压气动/高压管路:33	胶管总成	胶管总成	PIPE-000318 胶管总成 螺纹/规格：36*2；层数：2层；长度：12米；PIPE-000319 胶管总成 螺纹/规格：36*2；层数：2层；长度：17.7米；PIPE-000320 胶管总成 螺纹/规格：36*2；层数：2层；长度：5.2米；PIPE-000321 胶管总成 螺纹/规格：36*2；层数：2层；长度：7.9米；PIPE-000322 胶管总成 螺纹/规格：36*2；层数：2层；长度：15.9米；PIPE-000323 胶管总成 螺纹/规格：36*2；层数：2层；长度：2.3米；PIPE-000324 胶管总成 螺纹/规格：36*2；层数：2层；长度：3.4米；PIPE-000325 胶管总成 螺纹/规格：36*2；层数：2层；长度：3.9米	有重复但族边界不够清晰，先不固化。
加工	加工	暂作为检索/属性候选	low	29	23	15	否	定制加工件/金属加工件:12；定制加工件/管路接头:10；定制加工件/钢筋加工件:5；定制加工件/橡胶加工件:1；定制加工件/图纸件:1	六联管夹加工件；夹板加工件；定制管路接头；抱箍加工件；方柱加工件；无缝管加工件；橡胶加工件；螺纹钢筋加工件；角钢加工件；重型管夹加工件；钢板加工件；钢筋加工件	PVC管加工件；六联管夹加工件；单头外丝无缝管加工件；双外丝无缝管加工件；夹板加工件；带牙钢管加工件；带牙铁管加工件；抱箍加工件；方柱加工件；无缝管加工件；橡胶加工件；水管加工件	SPARE-000035 钢板加工件 加工：是；尺寸：300*270*16；SPARE-000036 夹板加工件 加工：是；尺寸：94*33*3；METAL-000038 钢筋加工件 加工：是；钢筋规格：12；长度：1.6米；METAL-000039 钢筋加工件 加工：是；钢筋规格：12；长度：11.93米；METAL-000040 钢筋加工件 加工：是；钢筋规格：12；长度：12.94米；PIPE-000104 带牙钢管加工件 加工：是；规格：89；工序：带牙；PIPE-000106 带牙钢管加工件 加工：是；规格：80；工序：带牙；PIPE-000122 带牙铁管加工件 加工：是；规格：80*150；工序：带牙	有重复但族边界不够清晰，先不固化。
膨胀	膨胀	暂作为检索/属性候选	low	28	4	2	是	紧固件与连接件/膨胀锚栓:27；建筑材料/防水材料:1	膨胀止水条；膨胀锚栓	膨胀止水条；膨胀螺丝；膨胀钩；镀锌膨胀钩	FAST-000001 膨胀螺丝 规格：14*120；FAST-000002 膨胀螺丝 规格：10*70；类型：膨胀螺丝；FAST-000004 膨胀螺丝 规格：M12*80；FAST-000008 膨胀螺丝 规格：M20*140；FAST-000009 膨胀螺丝 规格：M22*140；SPARE-000073 膨胀钩 规格：10厘；FAST-000011 膨胀螺丝 规格：8*60；FAST-000012 膨胀螺丝 规格：6厘	有重复但族边界不够清晰，先不固化。
合金	合金	暂作为检索/属性候选	low	24	12	9	是	液压气动/液压接头:7；工具耗材/钻头:6；工具量具/登高工具:5；紧固件与连接件/管卡:2；定制加工件/金属加工件:1；工具量具/手动工具:1	定制铝合金梯子；液压接头；管卡；钻头；铝合金快速接头；铝合金枪头；铝合金梯；铝合金梯子；铝合金窗	加厚铝合金扣；合金两半扣；合金钻头；定制铝合金梯子；铜头铝合金夹；铝合金快速接头；铝合金扣；铝合金抱箍；铝合金枪头；铝合金梯；铝合金梯子；铝合金窗	TOOL-000052 合金钻头 材质：合金；直径：6mm；TOOL-000053 合金钻头 材质：合金；直径：8mm；TOOL-000054 合金钻头 材质：合金；直径：10mm；TOOL-000055 合金钻头 材质：合金；直径：12mm；TOOL-000056 合金钻头 材质：合金；直径：14mm；TOOL-000057 合金钻头 材质：合金；直径：16mm；METAL-000046 铝合金窗 定制：是；材质：铝合金；PIPE-000207 铜头铝合金夹 规格：80；组成：铜头、铝合金夹	有重复但族边界不够清晰，先不固化。
外丝	外丝	暂作为检索/属性候选	low	24	14	5	是	管材管件阀门/直接:12；定制加工件/管路接头:6；液压气动/液压接头:3；管材管件阀门/阀门:2；液压气动/气动接头:1	定制管路接头；气动接头；液压接头；直接/接头；阀门	不锈钢内外丝球阀；不锈钢双外丝变径接头；不锈钢外丝变径接头；不锈钢快拧外丝直接；单头外丝无缝管加工件；双外丝无缝管加工件；外丝接头；液压高压外丝接头；镀锌外丝六角直接；镀锌外丝接头；镀锌外丝直接；高压外丝变径接头	PIPE-000079 高压外丝变径接头 定制：是；规格：M36变1寸；连接：外丝；PIPE-000140 镀锌外丝接头 规格：50*40；连接：外丝；表面：镀锌；PIPE-000164 高压外丝接头 螺纹：M36*2A；类型：外丝；PIPE-000180 外丝接头 定制：是；规格：1寸；连接：外丝；PIPE-000191 双外丝无缝管加工件 加工：是；材质/形态：无缝管；连接：两头外丝；PIPE-000210 单头外丝无缝管加工件 加工：是；形态：无缝管；连接：单头外丝；PIPE-000243 镀锌外丝接头 公称直径：DN80；连接：外丝；表面处理：镀锌；PIPE-000248 外丝接头 加工：是；规格：89；连接：外丝	有重复但族边界不够清晰，先不固化。
胀螺	胀螺	暂作为检索/属性候选	low	24	1	1	否	紧固件与连接件/膨胀锚栓:24	膨胀锚栓	膨胀螺丝	FAST-000001 膨胀螺丝 规格：14*120；FAST-000002 膨胀螺丝 规格：10*70；类型：膨胀螺丝；FAST-000004 膨胀螺丝 规格：M12*80；FAST-000008 膨胀螺丝 规格：M20*140；FAST-000009 膨胀螺丝 规格：M22*140；FAST-000011 膨胀螺丝 规格：8*60；FAST-000012 膨胀螺丝 规格：6厘；FAST-000014 膨胀螺丝 规格：6厘	有重复但族边界不够清晰，先不固化。
胀螺丝	胀螺丝	暂作为检索/属性候选	low	24	1	1	否	紧固件与连接件/膨胀锚栓:24	膨胀锚栓	膨胀螺丝	FAST-000001 膨胀螺丝 规格：14*120；FAST-000002 膨胀螺丝 规格：10*70；类型：膨胀螺丝；FAST-000004 膨胀螺丝 规格：M12*80；FAST-000008 膨胀螺丝 规格：M20*140；FAST-000009 膨胀螺丝 规格：M22*140；FAST-000011 膨胀螺丝 规格：8*60；FAST-000012 膨胀螺丝 规格：6厘；FAST-000014 膨胀螺丝 规格：6厘	有重复但族边界不够清晰，先不固化。
膨胀螺	膨胀螺	暂作为检索/属性候选	low	24	1	1	否	紧固件与连接件/膨胀锚栓:24	膨胀锚栓	膨胀螺丝	FAST-000001 膨胀螺丝 规格：14*120；FAST-000002 膨胀螺丝 规格：10*70；类型：膨胀螺丝；FAST-000004 膨胀螺丝 规格：M12*80；FAST-000008 膨胀螺丝 规格：M20*140；FAST-000009 膨胀螺丝 规格：M22*140；FAST-000011 膨胀螺丝 规格：8*60；FAST-000012 膨胀螺丝 规格：6厘；FAST-000014 膨胀螺丝 规格：6厘	有重复但族边界不够清晰，先不固化。
膨胀螺丝	膨胀螺丝	暂作为检索/属性候选	low	24	1	1	否	紧固件与连接件/膨胀锚栓:24	膨胀锚栓	膨胀螺丝	FAST-000001 膨胀螺丝 规格：14*120；FAST-000002 膨胀螺丝 规格：10*70；类型：膨胀螺丝；FAST-000004 膨胀螺丝 规格：M12*80；FAST-000008 膨胀螺丝 规格：M20*140；FAST-000009 膨胀螺丝 规格：M22*140；FAST-000011 膨胀螺丝 规格：8*60；FAST-000012 膨胀螺丝 规格：6厘；FAST-000014 膨胀螺丝 规格：6厘	有重复但族边界不够清晰，先不固化。
吊装	吊装	暂作为检索/属性候选	low	21	3	3	否	吊装索具/吊带:20；吊装索具/吊包:1	吊装带；吊装袋；扁平吊装带	吊装带；吊装袋；扁平吊装带	MAT-000073 扁平吊装带 执行标准：国标；额定载荷：3T；长度：3米；MAT-000074 扁平吊装带 执行标准：国标；额定载荷：5T；长度：6米；MAT-000084 扁平吊装带 额定载荷：5T；长度：8米；颜色：彩色；MAT-000094 扁平吊装带 额定载荷：2T；长度：2米；MAT-000095 扁平吊装带 额定载荷：5T；长度：6米；颜色：彩色；MAT-000099 扁平吊装带 额定载荷：5T；长度：6米；颜色：彩色；MAT-000103 扁平吊装带 额定载荷：2T；长度：1.5m；MAT-000104 扁平吊装带 额定载荷：1T；长度：1.5m	有重复但族边界不够清晰，先不固化。
喷漆	喷漆	暂作为检索/属性候选	low	21	2	2	否	化工胶粘涂料/涂料:21	喷漆；自喷漆	喷漆；自喷漆	CHEM-000009 喷漆 品牌：三和；颜色：黄色；CHEM-000010 喷漆 品牌：三和；颜色：天蓝色；CHEM-000017 自喷漆 品牌：三和；颜色：灰色；类型：自喷漆；CHEM-000018 自喷漆 品牌：三和；颜色：黑色；类型：自喷漆；CHEM-000034 自喷漆 品牌：三和；颜色：翠绿色；类型：自喷漆；CHEM-000035 自喷漆 颜色：中黄；类型：自喷漆；CHEM-000049 自喷漆 品牌：三和；颜色：灰色；类型：自喷漆；CHEM-000053 自喷漆 颜色：白色；类型：喷漆	有重复但族边界不够清晰，先不固化。
安全	安全	暂作为检索/属性候选	low	21	11	10	是	劳保防护/高处防护:10；安全消防/防护网:7；管材管件阀门/阀门:3；劳保防护/头部防护:1	五点式安全带；安全带；安全帽一字带；安全绳；安全网；安全防护网；密目安全网；阀门；防坠安全网；防护安全网	五点式安全带；安全带；安全帽一字带；安全绳；安全网；安全防护网；密目安全网；弹簧式安全阀；热水器安全阀；防坠安全网；防护安全网	PIPE-000044 热水器安全阀 用途：热水器；类型：安全阀；SAFE-000015 五点式安全带 类型：五点式；款式：欧式；SAFE-000025 防护安全网 规格：3000；特征：加厚；SAFE-000026 安全绳 类型：五点式；挂钩：双钩；SAFE-000031 防坠安全网 定制：是；用途：防坠；SAFE-000033 安全帽一字带 适用：安全帽；类型：一字带；SAFE-000060 安全防护网 特征：加厚；SAFE-000064 安全网 类型：安全网	有重复但族边界不够清晰，先不固化。
径接	径接	暂作为检索/属性候选	low	21	12	5	是	管材管件阀门/异径接头:7；管材管件阀门/直接:6；定制加工件/管路接头:3；液压气动/液压接头:3；管材管件阀门/变径接头:2	定制管路接头；液压接头；直接/接头；镀锌变径接头；镀锌异径接头	UPVC异径接头；不锈钢双外丝变径接头；不锈钢外丝变径接头；变径接头；异径接头；法兰异径接头；焊接变径接头；焊接异径接头；镀锌变径接头；镀锌异径接头；高压变径接头；高压外丝变径接头	PIPE-000073 UPVC异径接头 规格：32*25；材质：UPVC；类型：大小头/异径；PIPE-000078 高压变径接头 定制：是；规格：36*3+36；类型：变头；PIPE-000079 高压外丝变径接头 定制：是；规格：M36变1寸；连接：外丝；PIPE-000096 异径接头 品牌：公元；规格：40*32；类型：异径接头；PIPE-000101 焊接异径接头 规格：159*89；连接：焊接；类型：大小头；PIPE-000153 镀锌异径接头 规格：100*50；表面：镀锌；类型：大小头；PIPE-000165 焊接异径接头 规格：273*168；类型：大小头；连接：焊接；PIPE-000171 异径接头 规格：80*50；类型：大小头	有重复但族边界不够清晰，先不固化。
吊装带	吊装带	暂作为检索/属性候选	low	20	2	2	否	吊装索具/吊带:20	吊装带；扁平吊装带	吊装带；扁平吊装带	MAT-000073 扁平吊装带 执行标准：国标；额定载荷：3T；长度：3米；MAT-000074 扁平吊装带 执行标准：国标；额定载荷：5T；长度：6米；MAT-000084 扁平吊装带 额定载荷：5T；长度：8米；颜色：彩色；MAT-000094 扁平吊装带 额定载荷：2T；长度：2米；MAT-000095 扁平吊装带 额定载荷：5T；长度：6米；颜色：彩色；MAT-000099 扁平吊装带 额定载荷：5T；长度：6米；颜色：彩色；MAT-000103 扁平吊装带 额定载荷：2T；长度：1.5m；MAT-000104 扁平吊装带 额定载荷：1T；长度：1.5m	有重复但族边界不够清晰，先不固化。
装带	装带	暂作为检索/属性候选	low	20	2	2	否	吊装索具/吊带:20	吊装带；扁平吊装带	吊装带；扁平吊装带	MAT-000073 扁平吊装带 执行标准：国标；额定载荷：3T；长度：3米；MAT-000074 扁平吊装带 执行标准：国标；额定载荷：5T；长度：6米；MAT-000084 扁平吊装带 额定载荷：5T；长度：8米；颜色：彩色；MAT-000094 扁平吊装带 额定载荷：2T；长度：2米；MAT-000095 扁平吊装带 额定载荷：5T；长度：6米；颜色：彩色；MAT-000099 扁平吊装带 额定载荷：5T；长度：6米；颜色：彩色；MAT-000103 扁平吊装带 额定载荷：2T；长度：1.5m；MAT-000104 扁平吊装带 额定载荷：1T；长度：1.5m	有重复但族边界不够清晰，先不固化。
自喷	自喷	暂作为检索/属性候选	low	19	1	1	否	化工胶粘涂料/涂料:19	自喷漆	自喷漆	CHEM-000017 自喷漆 品牌：三和；颜色：灰色；类型：自喷漆；CHEM-000018 自喷漆 品牌：三和；颜色：黑色；类型：自喷漆；CHEM-000034 自喷漆 品牌：三和；颜色：翠绿色；类型：自喷漆；CHEM-000035 自喷漆 颜色：中黄；类型：自喷漆；CHEM-000049 自喷漆 品牌：三和；颜色：灰色；类型：自喷漆；CHEM-000053 自喷漆 颜色：白色；类型：喷漆；CHEM-000064 自喷漆 颜色：白色；类型：自喷漆；CHEM-000068 自喷漆 颜色：红色；类型：自喷漆	有重复但族边界不够清晰，先不固化。
