group_id	item_name	old_groups	sku_count	suggested_category	suggested_subcategory	needs_split	split_basis	confidence	reason
IMG-0469	手持打码机	设备/标识设备	1	施工机具设备	通用设备	no		medium	打码机是小型现场标识设备；推荐无对应二级，按通用设备新建。
IMG-0470	手推车	工具器具/搬运工具	1	施工机具设备	搬运设备	no		high	手推车用于现场搬运，旧工具器具口径偏差。
IMG-0471	手锤	工具/手动工具	2	工具量具	手动工具	no		high	手锤属手动工具。
IMG-0472	扎丝	五金备件/金属丝材；建筑材料/绑扎材料	3	金属材料	金属丝网	no		high	扎丝是金属丝材，旧建筑绑扎材料按实物归类。
IMG-0473	扎带	电气材料/扎带	4	电气电料	电气辅材	no		high	扎带常作线缆固定辅材，规格差异不拆分。
IMG-0474	打印机数据线	行政后勤/办公设备配件	1	电气电料	电线电缆	no		medium	打印机数据线本质为线缆，旧办公配件按实物归类。
IMG-0475	打印机电源线	行政后勤/办公设备配件	1	电气电料	电线电缆	no		high	打印机电源线本质为电源线缆。
IMG-0476	扫把	劳保耗材/清洁工具；清洁用品/清洁工具；行政后勤/清洁用品	6	清洁办公后勤	清洁工具	no		high	扫把是清洁工具，材质规格不拆分。
IMG-0477	扫斗	行政后勤/清洁用品	1	清洁办公后勤	清洁工具	no		high	扫斗为清洁工具。
IMG-0478	扳手	工具/手动工具	1	工具量具	手动工具	no		high	扳手属手动工具。
IMG-0479	抗振储气式压力表	仪表/压力仪表	1	工具量具	检测仪器	no		high	压力表用于压力检测，归检测仪器。
IMG-0480	抗盐膨润土	化工原料/膨润土；化工材料/膨润土	2	化工胶粘涂料	膨润土	no		medium	膨润土为施工化工材料；推荐无对应二级，按膨润土新建。
IMG-0481	折叠圆桌	行政后勤/办公家具	1	清洁办公后勤	生活用品	no		high	折叠圆桌为后勤家具生活用品。
IMG-0482	护目镜	劳保耗材/眼面防护	2	劳保防护	眼面防护	no		high	护目镜为眼面防护用品。
IMG-0483	抱箍	管夹/卡箍	1	紧固件与连接件	管卡	no		high	抱箍用于管道夹持固定，归管卡。
IMG-0484	抱箍加工件	定制件/管道紧固	2	定制加工件	金属加工件	no		medium	按尺寸加工的非标抱箍，归金属加工件。
IMG-0485	抱箍钢卡	工程材料/管道紧固	1	紧固件与连接件	管卡	no		high	钢卡抱箍用于管道固定，旧工程材料过宽。
IMG-0486	抹子	施工工具/抹灰工具	1	工具量具	手动工具	no		high	抹子为抹灰手动工具。
IMG-0487	抹布	清洁耗材/抹布；清洁耗材/擦拭材料；行政后勤/清洁用品	3	清洁办公后勤	清洁耗材	no		high	抹布为清洁擦拭耗材。
IMG-0488	抽锁	五金备件/锁具	1	清洁办公后勤	门窗五金	no		high	抽锁属门窗锁具五金。
IMG-0489	拉杆销子	定制件/金属加工件	1	定制加工件	金属加工件	no		high	拉杆销子为定制金属加工件。
IMG-0490	拖把	劳保耗材/清洁工具；清洁用品/清洁工具；行政后勤/清洁用品	5	清洁办公后勤	清洁工具	no		high	拖把是清洁工具，旧劳保耗材错误。
IMG-0491	拖线板	电气/插排	2	电气电料	插头插座	no		high	拖线板/插排属插头插座类电料。
IMG-0492	拖鞋	行政后勤/生活用品	1	清洁办公后勤	生活用品	no		high	拖鞋为后勤生活用品。
IMG-0493	挂壁风扇	设备/通用电器	1	清洁办公后勤	生活用品	no		medium	挂壁风扇用于现场后勤生活，旧通用设备过宽。
IMG-0494	挂胶手套	劳保耗材/手套	1	劳保防护	手套	no		high	挂胶手套为劳保手套。
IMG-0495	挂锁	五金/锁具；五金备件/锁具；五金建材/锁具	7	清洁办公后勤	门窗五金	no		high	挂锁属门窗锁具五金，旧五金口径需归并。
IMG-0496	指示灯	电气/按钮指示元件	1	电气电料	开关按钮	no		high	指示灯属按钮指示类电料。
IMG-0497	按压水龙头	工程材料/水暖五金	1	管材管件阀门	水暖五金	no		high	按压水龙头属水暖五金。
IMG-0498	按钮开关	电气/按钮指示元件	1	电气电料	开关按钮	no		high	按钮开关属开关按钮类电料。
